Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Derek Anderson\AndeDe00,ARI,22,41,297,1,0,2,31,35,85.1,1,9,0,9,0,0,0,0,0,2,
Tim Hightower\HighTi00,ARI,0,0,0,0,0,0,0,0,,13,54,1,20,4,4,40,0,17,2,
LaRod Stephens-Howling\StepLa00,ARI,0,0,0,0,0,0,0,0,,7,49,0,21,4,3,16,0,9,0,
Steve Breaston\BreaSt00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,132,0,35,0,
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,15,3,43,1,21,0,
Early Doucet\DoucEa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,24,0,
Max Komar\KomaMa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,20,3,
Stephen Spach\SpacSt00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,
Stephen Williams\WillSt01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Sam Bradford\BradSa00,STL,32,55,253,1,3,2,13,39,53.1,0,0,0,0,0,0,0,0,0,0,
Steven Jackson\JackSt00,STL,0,0,0,0,0,,,0,,22,81,0,18,8,4,6,0,9,0,
Mike Karney\KarnMi00,STL,0,0,0,0,0,,,0,,1,2,0,2,1,1,2,0,2,0,
Kenneth Darby\DarbKe00,STL,0,0,0,0,0,,,0,,1,2,0,2,0,0,0,0,0,0,
Mark Clayton\ClayMa01,STL,0,0,0,0,0,,,0,,0,0,0,0,16,10,119,0,39,0,
Danny Amendola\AmenDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,9,6,67,0,36,0,
Laurent Robinson\RobiLa01,STL,0,0,0,0,0,,,0,,0,0,0,0,9,3,18,1,11,0,
Billy Bajema\BajeBi00,STL,0,0,0,0,0,,,0,,0,0,0,0,5,3,18,0,15,1,
Daniel Fells\FellDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,5,4,15,0,5,0,
Michael Hoomanawanui\HoomMi00,STL,0,0,0,0,0,,,0,,0,0,0,0,1,1,8,0,8,0,
Mardy Gilyard\GilyMa00,STL,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
