Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,20,38,248,0,1,2,15,38,62.2,4,2,0,1,0,0,0,0,0,1,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,,,0,,21,43,0,7,4,2,19,0,16,0,
Le'Ron McClain\McClLe00,BAL,0,0,0,0,0,,,0,,4,6,0,3,2,1,5,0,5,0,
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,,0,,0,0,0,0,10,7,110,0,38,0,
Todd Heap\HeapTo00,BAL,0,0,0,0,0,,,0,,0,0,0,0,11,6,72,0,35,0,
T.J. Houshmandzadeh\HousTJ00,BAL,0,0,0,0,0,,,0,,0,0,0,0,4,1,27,0,27,0,
Derrick Mason\MasoDe00,BAL,0,0,0,0,0,,,0,,0,0,0,0,5,2,21,0,12,0,
Willis McGahee\McGaWi00,BAL,0,0,0,0,0,,,0,,6,-2,1,1,1,1,-6,0,-6,1,
Mark Sanchez\SancMa00,NYJ,10,21,74,0,0,2,14,13,56.4,2,5,0,6,0,0,0,0,0,0,
LaDainian Tomlinson\TomlLa00,NYJ,0,0,0,0,0,,,0,,11,62,0,21,4,2,16,0,9,0,
Brad Smith\SmitBr01,NYJ,0,0,0,0,0,0,,0,,2,27,0,22,0,0,0,0,0,0,
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,,,0,,5,18,0,8,2,1,9,0,9,2,
Braylon Edwards\EdwaBr00,NYJ,0,0,0,0,0,,,0,,1,4,0,4,3,1,9,0,9,0,
Jerricho Cotchery\CotcJe00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,5,2,18,0,13,0,
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,5,2,13,0,9,0,
Tony Richardson\RichTo00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,2,2,9,0,5,0,
