Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Moore\MoorMa01,CAR,14,33,182,1,3,4,34,27,32.6,2,15,0,8,0,0,0,0,0,2,
Jimmy Clausen\ClauJi00,CAR,0,2,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,,,0,,16,62,0,29,0,0,0,0,0,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,,,0,,5,12,0,4,0,0,0,0,0,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,,,0,,0,0,0,0,9,5,75,1,27,0,
Dwayne Jarrett\JarrDw00,CAR,0,0,0,0,0,,,0,,0,0,0,0,4,2,40,0,21,0,
Mike Goodson\GoodMi00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,3,31,0,13,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,,0,,0,0,0,0,8,2,22,0,14,0,
Dante Rosario\RosaDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,4,2,14,0,10,0,
Jason Baker\BakeJa20,CAR,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
Gary Barnidge\BarnGa01,CAR,0,0,0,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,
Eli Manning\MannEl00,NYG,20,30,263,3,3,1,5,31,87.9,4,-2,0,1,0,0,0,0,0,0,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,,,0,,20,76,1,39,4,2,17,0,16,1,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,,,0,,12,44,0,22,2,2,21,0,12,0,
Mario Manningham\MannMa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,4,4,85,0,31,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,8,4,75,3,26,0,
Steve Smith\SmitSt02,NYG,0,0,0,0,0,,,0,,0,0,0,0,8,5,43,0,13,0,
Kevin Boss\BossKe00,NYG,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,
Travis Beckum\BeckTr00,NYG,0,0,0,0,0,,,0,,0,0,0,0,2,2,11,0,8,0,
