Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jon Kitna\KitnJo00,DAL,13,22,327,3,1,0,0,71,124.1,5,2,0,5,0,0,0,0,0,0,
Felix Jones\JoneFe00,DAL,0,0,0,0,0,,,0,,14,51,0,12,3,3,85,1,71,0,
Marion Barber\BarbMa01,DAL,0,0,0,0,0,0,,0,,8,47,0,18,2,1,-2,0,-2,0,
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,,,0,,0,0,0,0,5,3,104,1,46,0,
Miles Austin\AustMi00,DAL,0,0,0,0,0,,,0,,1,0,0,0,3,2,68,1,44,0,
Roy Williams\WillRo04,DAL,0,0,0,0,0,,,0,,0,0,0,0,2,2,33,0,27,0,
Martellus Bennett\BennMa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,2,1,32,0,32,0,
Jason Witten\WittJa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,2,1,7,0,7,0,
Eli Manning\MannEl00,NYG,33,48,373,2,2,0,0,44,88.3,3,17,0,9,0,0,0,0,0,0,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,,,0,,20,73,0,9,7,6,62,0,18,1,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,,,0,,5,17,0,6,3,2,11,0,10,0,
Mario Manningham\MannMa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,16,10,91,1,44,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,8,5,82,0,23,0,
Kevin Boss\BossKe00,NYG,0,0,0,0,0,,,0,,0,0,0,0,7,5,81,1,35,0,
Ramses Barden\BardRa00,NYG,0,0,0,0,0,,,0,,0,0,0,0,4,3,34,0,26,0,
Travis Beckum\BeckTr00,NYG,0,0,0,0,0,,,0,,0,0,0,0,2,2,12,0,10,0,
