Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Derek Anderson\AndeDe00,ARI,25,46,295,1,0,2,14,27,81.3,0,0,0,0,0,0,0,0,0,0,
Tim Hightower\HighTi00,ARI,0,0,0,0,0,0,0,0,,12,62,0,16,4,3,24,0,9,0,
Beanie Wells\WellCh00,ARI,0,0,0,0,0,0,0,0,,8,39,0,12,0,0,0,0,0,0,
Steve Breaston\BreaSt00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,92,0,27,0,
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,90,1,24,0,
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,52,0,13,0,
Ben Patrick\PatrBe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,0,11,0,
Early Doucet\DoucEa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,13,0,7,0,
Matt Cassel\CassMa00,KAN,15,24,193,2,0,0,0,38,115.5,0,0,0,0,0,0,0,0,0,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,,,0,,12,88,0,39,5,4,38,0,25,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,,,0,,15,71,2,28,0,0,0,0,0,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,,,0,,0,0,0,0,8,6,109,2,38,0,
Jake O'Connell\OConJa00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,2,24,0,18,0,
Verran Tucker\TuckVe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,4,1,13,0,13,0,
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
Chris Chambers\ChamCh00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,1,4,0,4,0,
Tim Castille\CastTi20,KAN,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
Mike Vrabel\VrabMi20,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
