Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,24,33,301,1,0,3,23,56,110.8,1,0,0,0,0,0,0,0,0,2,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,,,0,,19,65,1,13,7,6,66,0,18,0,
Willis McGahee\McGaWi00,BAL,0,0,0,0,0,,,0,,8,23,0,6,2,2,-10,0,-4,0,
Donte' Stallworth\StalDo00,BAL,0,0,0,0,0,,,0,,1,7,0,7,1,1,15,0,15,0,
Le'Ron McClain\McClLe00,BAL,0,0,0,0,0,,,0,,2,5,0,6,3,2,11,0,7,0,
T.J. Houshmandzadeh\HousTJ00,BAL,0,0,0,0,0,,,0,,0,0,0,0,2,2,79,1,56,0,
Todd Heap\HeapTo00,BAL,0,0,0,0,0,,,0,,0,0,0,0,6,5,69,0,29,1,
Derrick Mason\MasoDe00,BAL,0,0,0,0,0,,,0,,0,0,0,0,6,3,42,0,23,0,
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,,0,,0,0,0,0,4,3,29,0,16,1,
Brian St. Pierre\St.PBr20,CAR,13,28,173,1,2,3,23,88,48.7,0,0,0,0,0,0,0,0,0,0,
Mike Goodson\GoodMi00,CAR,0,0,0,0,0,,,0,,22,120,0,45,6,5,31,0,9,2,
David Gettis\GettDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,4,2,92,1,88,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,,,0,,0,0,0,0,7,4,46,0,20,0,
Jeff King\KingJe00,CAR,0,0,0,0,0,,,0,,0,0,0,0,2,2,4,0,3,0,
Gary Barnidge\BarnGa01,CAR,0,0,0,0,0,,,0,,0,0,0,0,3,0,0,0,0,0,
Devin Thomas\ThomDe02,CAR,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
