Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,21,34,316,4,2,1,8,54,107.0,1,11,0,11,0,0,0,0,0,0,
Fred Jackson\JackFr02,BUF,0,0,0,0,0,,,0,,21,116,2,30,5,3,13,0,7,0,
Quinton Ganther\GantQu00,BUF,0,0,0,0,0,,,0,,1,11,0,11,0,0,0,0,0,0,
Jehuu Caulcrick\CaulJe00,BUF,0,0,0,0,0,,,0,,1,2,0,2,0,0,0,0,0,0,
Donald Jones\JoneDo00,BUF,0,0,0,0,0,,,0,,1,1,0,1,5,5,70,1,28,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,,,0,,0,0,0,0,11,8,137,3,36,0,
Lee Evans\EvanLe00,BUF,0,0,0,0,0,,,0,,0,0,0,0,8,2,72,0,54,0,
David Martin\MartDa00,BUF,0,0,0,0,0,,,0,,0,0,0,0,3,2,15,0,15,0,
Shawn Nelson\NelsSh00,BUF,0,0,0,0,0,,,0,,0,0,0,0,1,1,9,0,9,0,
Carson Palmer\PalmCa00,CIN,19,34,230,2,2,0,0,48,71.9,2,12,0,9,0,0,0,0,0,0,
Jordan Palmer\PalmJo20,CIN,3,3,18,0,0,2,20,7,91.7,0,0,0,0,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,,,0,,25,124,1,26,3,3,22,0,11,1,
Jordan Shipley\ShipJo00,CIN,0,0,0,0,0,,,0,,0,0,0,0,9,5,71,0,37,0,
Terrell Owens\OwenTe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,9,3,63,1,48,0,
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,3,2,33,0,18,0,
Chad Johnson\JohnCh01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,28,1,17,0,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,,,0,,0,0,0,0,4,3,23,0,10,0,
Andre Caldwell\CaldAn00,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,9,0,9,0,
Quan Cosby\CosbQu00,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,,,0,,3,-3,0,0,1,1,-6,0,-6,0,
