Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Colt McCoy\McCoCo00,CLE,17,28,241,1,1,6,46,47,85.6,4,39,0,18,0,0,0,0,0,0,
Peyton Hillis\HillPe00,CLE,0,0,0,0,0,0,,0,,21,48,0,6,8,6,95,1,47,0,
Mike Bell\BellMi00,CLE,0,0,0,0,0,,,0,,1,1,0,1,0,0,0,0,0,0,
Evan Moore\MoorEv00,CLE,0,0,0,0,0,,,0,,0,0,0,0,3,3,69,0,38,0,
Mohamed Massaquoi\MassMo00,CLE,0,0,0,0,0,0,,0,,0,0,0,0,9,4,51,0,17,0,
Chansi Stuckey\StucCh20,CLE,0,0,0,0,0,,,0,,0,0,0,0,4,4,26,0,16,0,
David Garrard\GarrDa00,JAX,20,34,254,2,3,4,28,75,65.1,3,9,0,6,0,0,0,0,0,1,
Maurice Jones-Drew\DrewMa00,JAX,0,1,0,0,1,0,0,0,0.0,23,133,1,22,3,3,87,0,75,1,
Rashad Jennings\JennRa00,JAX,0,0,0,0,0,,,0,,2,3,0,3,1,1,9,0,9,0,
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,8,5,66,1,17,0,
Mike Thomas\ThomMi01,JAX,0,0,0,0,0,,,0,,0,0,0,0,10,5,36,1,15,0,
Zach Miller\MillZa02,JAX,0,0,0,0,0,,,0,,0,0,0,0,4,3,27,0,13,0,
Kassim Osgood\OsgoKa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,4,2,22,0,11,0,
Tiquan Underwood\UndeTi00,JAX,0,0,0,0,0,,,0,,0,0,0,0,5,1,7,0,7,0,
