Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kyle Orton\OrtoKy00,DEN,24,38,217,1,1,5,45,21,76.3,1,4,0,4,0,0,0,0,0,0,
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,,,0,,13,58,1,12,7,7,62,0,19,0,
Lance Ball\BallLa00,DEN,0,0,0,0,0,,,0,,1,1,0,1,0,0,0,0,0,0,
Brandon Lloyd\LloyBr00,DEN,0,0,0,0,0,,,0,,0,0,0,0,9,6,78,1,21,0,
Jabar Gaffney\GaffJa00,DEN,0,0,0,0,0,,,0,,0,0,0,0,7,3,33,0,18,0,
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,,,0,,0,0,0,0,5,3,17,0,12,0,
Eddie Royal\RoyaEd00,DEN,0,0,0,0,0,,,0,,0,0,0,0,5,2,12,0,8,0,
Correll Buckhalter\BuckCo00,DEN,0,0,0,0,0,,,0,,0,0,0,0,2,1,9,0,9,0,
Daniel Graham\GrahDa00,DEN,0,0,0,0,0,,,0,,0,0,0,0,3,2,6,0,6,0,
Philip Rivers\RivePh00,SDG,15,24,233,4,1,1,8,57,116.8,4,6,0,9,0,0,0,0,0,0,
Patrick Crayton\CrayPa00,SDG,0,1,0,0,0,0,0,0,39.6,0,0,0,0,4,3,105,1,49,0,
Mike Scifres\ScifMi20,SDG,1,1,28,0,0,0,0,28,118.7,0,0,0,0,0,0,0,0,0,0,
Mike Tolbert\TolbMi00,SDG,0,0,0,0,0,,,0,,25,111,1,22,2,2,42,0,28,1,
Darren Sproles\SproDa00,SDG,0,0,0,0,0,,,0,,5,14,0,6,9,5,60,1,57,0,
Curtis Brinkley\BrinCu00,SDG,0,0,0,0,0,,,0,,1,9,0,9,0,0,0,0,0,0,
Jacob Hester\HestJa00,SDG,0,0,0,0,0,,,0,,3,7,0,4,2,2,9,1,6,0,
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,,,0,,0,0,0,0,6,2,24,1,18,0,
Kory Sperry\SperKo00,SDG,0,0,0,0,0,,,0,,0,0,0,0,2,2,21,0,13,0,
