Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Sam Bradford\BradSa00,STL,22,37,308,3,0,2,0,45,113.3,1,-1,0,-1,0,0,0,0,0,0,
Steven Jackson\JackSt00,STL,0,0,0,0,0,,,0,,29,72,0,20,3,1,-6,0,-6,0,
Danny Amendola\AmenDa00,STL,0,0,0,0,0,,,0,,3,48,0,30,7,4,41,0,17,0,
Kenneth Darby\DarbKe00,STL,0,0,0,0,0,,,0,,2,4,1,3,1,0,0,0,0,0,
Danario Alexander\AlexDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,6,4,95,0,45,0,
Laurent Robinson\RobiLa01,STL,0,0,0,0,0,,,0,,0,0,0,0,6,4,58,0,23,0,
Michael Hoomanawanui\HoomMi00,STL,0,0,0,0,0,,,0,,0,0,0,0,1,1,36,1,36,0,
Billy Bajema\BajeBi00,STL,0,0,0,0,0,,,0,,0,0,0,0,5,3,32,2,26,0,
Brandon Gibson\GibsBr00,STL,0,0,0,0,0,,,0,,0,0,0,0,5,3,29,0,14,0,
Daniel Fells\FellDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,3,2,23,0,13,0,
Kyle Orton\OrtoKy00,DEN,24,41,347,3,0,3,17,41,110.5,0,0,0,0,0,0,0,0,0,0,
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,,,0,,12,56,1,16,9,6,62,0,31,1,
Lance Ball\BallLa00,DEN,0,0,0,0,0,,,0,,4,31,0,17,0,0,0,0,0,0,
Eddie Royal\RoyaEd00,DEN,0,0,0,0,0,,,0,,1,20,0,20,9,6,74,1,24,1,
Correll Buckhalter\BuckCo00,DEN,0,0,0,0,0,,,0,,1,12,0,12,1,0,0,0,0,0,
Brandon Lloyd\LloyBr00,DEN,0,0,0,0,0,,,0,,0,0,0,0,10,4,76,2,41,0,
Jabar Gaffney\GaffJa00,DEN,0,0,0,0,0,,,0,,0,0,0,0,6,3,59,0,28,0,
Eric Decker\DeckEr00,DEN,0,0,0,0,0,,,0,,0,0,0,0,2,2,48,0,38,0,
Dan Gronkowski\GronDa00,DEN,0,0,0,0,0,,,0,,0,0,0,0,1,1,13,0,13,0,
Spencer Larsen\LarsSp99,DEN,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,
Daniel Graham\GrahDa00,DEN,0,0,0,0,0,,,0,,0,0,0,0,2,1,4,0,4,0,
