Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jimmy Clausen\ClauJi00,CAR,18,34,169,0,1,3,17,39,54.7,1,0,0,0,0,0,0,0,0,1,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,,,0,,21,92,1,14,1,1,7,0,7,0,
Mike Goodson\GoodMi00,CAR,0,0,0,0,0,,,0,,3,19,1,11,0,0,0,0,0,0,
Tyrell Sutton\SuttTy00,CAR,0,0,0,0,0,,,0,,4,17,0,10,3,3,14,0,8,0,
Tony Fiammetta\FiamTo00,CAR,0,0,0,0,0,,,0,,1,3,0,3,3,2,17,0,9,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,,,0,,0,0,0,0,10,3,54,0,39,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,,0,,0,0,0,0,7,3,33,0,14,0,
Dante Rosario\RosaDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,3,26,0,21,0,
David Gettis\GettDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,3,2,16,0,11,0,
Jeff King\KingJe00,CAR,0,0,0,0,0,,,0,,0,0,0,0,2,1,2,0,2,0,
Matt Hasselbeck\HassMa00,SEA,17,30,229,0,2,2,12,36,53.3,1,-1,0,-1,0,0,0,0,0,0,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,,,0,,21,83,3,22,1,1,17,0,17,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,,,0,,6,60,0,31,2,0,0,0,0,0,
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,,0,,1,14,0,14,1,1,0,0,0,0,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,7,0,,2,5,0,4,0,0,0,0,0,0,
Cameron Morrah\MorrCa00,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,3,69,0,36,0,
Brandon Stokley\StokBr00,SEA,0,0,0,0,0,,,0,,0,0,0,0,5,4,47,0,17,0,
Deon Butler\ButlDe00,SEA,0,0,0,0,0,,,0,,0,0,0,0,7,4,43,0,20,0,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,2,40,0,27,0,
Golden Tate\TateGo00,SEA,0,0,0,0,0,,,0,,0,0,0,0,6,2,13,0,7,0,
