Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,24,29,313,2,1,2,23,52,120.3,0,0,0,0,0,0,0,0,0,0,
Chris Ivory\IvorCh00,NOR,0,0,0,0,0,,,0,,15,117,2,55,0,0,0,0,0,1,
Reggie Bush\BushRe00,NOR,0,0,0,0,0,,,0,,5,26,0,10,3,3,0,0,9,0,
Julius Jones\JoneJu01,NOR,0,0,0,0,0,,,0,,2,3,0,4,4,3,6,0,6,0,
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,,,0,,0,0,0,0,3,3,106,1,52,0,
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,,,0,,0,0,0,0,3,3,72,0,52,0,
Marques Colston\ColsMa00,NOR,0,0,0,0,0,,,0,,0,0,0,0,4,3,65,1,43,0,
Lance Moore\MoorLa00,NOR,0,0,0,0,0,,,0,,0,0,0,0,7,6,36,0,9,0,
Jeremy Shockey\ShocJe00,NOR,0,0,0,0,0,,,0,,0,0,0,0,3,2,28,0,18,0,
David Thomas\ThomDa02,NOR,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Devery Henderson\HendDe00,NOR,0,0,0,0,0,,,0,,0,0,0,0,1,1,0,0,0,0,
Carson Palmer\PalmCa00,CIN,23,33,249,1,0,3,34,33,101.7,0,0,0,0,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,,,0,,19,49,2,7,2,2,14,0,11,1,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,,,0,,6,43,0,18,0,0,0,0,0,0,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,,,0,,1,4,0,4,4,3,24,0,14,0,
Chad Johnson\JohnCh01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,96,0,33,0,
Terrell Owens\OwenTe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,9,6,47,1,20,0,
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,4,3,43,0,23,0,
Jordan Shipley\ShipJo00,CIN,0,0,0,0,0,,,0,,0,0,0,0,4,4,25,0,8,0,
