Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,CIN,20,32,178,1,3,3,22,24,48.7,2,0,0,1,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,,,0,,8,19,0,7,3,3,26,0,24,0,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,,,0,,4,15,0,8,0,0,0,0,0,0,
Chad Johnson\JohnCh01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,71,0,16,0,
Jordan Shipley\ShipJo00,CIN,0,0,0,0,0,,,0,,0,0,0,0,4,3,26,0,16,0,
Terrell Owens\OwenTe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,6,1,22,0,22,0,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,,,0,,0,0,0,0,2,2,17,0,9,0,
Reggie Kelly\KellRe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,6,4,15,0,5,0,
Andrew Whitworth\WhitAn20,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,1,1,1,0,
Ben Roethlisberger\RoetBe00,PIT,21,33,258,0,0,4,27,33,87.7,3,23,0,13,0,0,0,0,0,0,
Rashard Mendenhall\MendRa00,PIT,0,0,0,0,0,,,0,,18,66,0,10,2,1,9,0,9,0,
Mewelde Moore\MoorMe00,PIT,0,0,0,0,0,,,0,,4,18,0,9,0,0,0,0,0,0,
Mike Wallace\WallMi00,PIT,0,0,0,0,0,,,0,,1,12,0,12,9,5,78,0,33,0,
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,,,0,,1,4,0,4,1,1,6,0,6,0,
Hines Ward\WardHi00,PIT,0,0,0,0,0,,,0,,0,0,0,0,10,8,115,0,29,0,
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,,,0,,0,0,0,0,4,3,27,0,12,1,
Antwaan Randle El\RandAn00,PIT,0,0,0,0,0,0,,0,,0,0,0,0,2,2,19,0,22,0,
Matt Spaeth\SpaeMa00,PIT,0,0,0,0,0,,,0,,0,0,0,0,3,1,4,0,4,0,
