Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,IND,25,35,319,2,0,1,7,50,118.6,0,0,0,0,0,0,0,0,0,0,
Javarris James\JameJa00,IND,0,0,0,0,0,,,0,,17,49,1,11,1,0,0,0,0,0,
Donald Brown\BrowDo00,IND,0,0,0,0,0,,,0,,15,38,0,11,5,3,24,0,13,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,,,0,,0,0,0,0,7,4,106,0,50,0,
Pierre Garcon\GarcPi00,IND,0,0,0,0,0,,,0,,0,0,0,0,7,6,93,2,43,0,
Blair White\WhitBl00,IND,0,0,0,0,0,,,0,,0,0,0,0,8,7,52,0,20,1,
Jacob Tamme\TammJa00,IND,0,0,0,0,0,,,0,,0,0,0,0,5,4,36,0,12,0,
Brody Eldridge\EldrBr00,IND,0,0,0,0,0,,,0,,0,0,0,0,2,1,8,0,8,0,
Kerry Collins\CollKe00,TEN,28,39,244,3,0,0,0,25,113.6,0,0,0,0,0,0,0,0,0,0,
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,,,0,,22,111,1,37,8,8,68,0,25,0,
Javon Ringer\RingJa00,TEN,0,0,0,0,0,,,0,,2,10,0,9,1,1,8,0,8,0,
Nate Washington\WashNa00,TEN,0,0,0,0,0,,,0,,0,0,0,0,7,3,48,0,21,0,
Kenny Britt\BritKe00,TEN,0,0,0,0,0,,,0,,0,0,0,0,8,4,39,0,18,1,
Ahmard Hall\HallAh00,TEN,0,0,0,0,0,,,0,,0,0,0,0,3,3,26,0,10,0,
Bo Scaife\ScaiBo00,TEN,0,0,0,0,0,,,0,,0,0,0,0,4,4,20,2,8,0,
Craig Stevens\StevCr00,TEN,0,0,0,0,0,,,0,,0,0,0,0,4,3,20,1,7,0,
Jared Cook\CookJa02,TEN,0,0,0,0,0,,,0,,0,0,0,0,1,1,9,0,9,0,
Justin Gage\GageJu00,TEN,0,0,0,0,0,,,0,,0,0,0,0,2,1,6,0,6,0,
Brett Kern\KernBr20,TEN,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
