Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brodie Croyle\CroyBr00,KAN,7,17,40,0,0,4,29,16,48.9,0,0,0,0,0,0,0,0,0,0,
Tyler Palko\PalkTy00,KAN,2,3,8,0,0,0,0,10,70.1,1,-1,0,-1,0,0,0,0,0,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,,,0,,10,40,0,10,3,2,9,0,5,0,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,,,0,,3,8,0,5,0,0,0,0,0,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,,,0,,3,1,0,3,0,0,0,0,0,0,
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,3,2,15,0,16,0,
Tony Moeaki\MoeaTo00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,2,13,0,8,0,
Chris Chambers\ChamCh00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,10,0,10,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,,,0,,0,0,0,0,7,1,3,0,3,0,
Verran Tucker\TuckVe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,
Leonard Pope\PopeLe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,1,-2,0,-2,0,
Philip Rivers\RivePh00,SDG,18,24,226,2,1,2,7,20,114.2,2,5,0,4,0,0,0,0,0,1,
Mike Tolbert\TolbMi00,SDG,0,0,0,0,0,,,0,,16,66,1,18,1,1,13,0,13,0,
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,,,0,,16,65,1,15,2,1,6,0,6,0,
Darren Sproles\SproDa00,SDG,0,0,0,0,0,,,0,,6,53,0,19,5,5,51,0,15,0,
Vincent Jackson\JackVi00,SDG,0,0,0,0,0,,,0,,1,14,0,14,3,2,29,0,19,0,
Jacob Hester\HestJa00,SDG,0,0,0,0,0,,,0,,2,4,0,2,0,0,0,0,0,0,
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,,,0,,0,0,0,0,6,4,51,2,18,1,
Kelley Washington\WashKe00,SDG,0,0,0,0,0,,,0,,0,0,0,0,3,3,50,0,20,0,
Randy McMichael\McMiRa01,SDG,0,0,0,0,0,,,0,,0,0,0,0,2,2,26,0,15,0,
