Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Michael Vick\VickMi00,PHI,16,26,270,2,2,2,12,91,90.2,8,16,1,9,0,0,0,0,0,0,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,,,0,,16,149,0,56,3,3,4,0,6,0,
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,,,0,,2,6,0,4,8,4,210,1,91,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,,,0,,0,0,0,0,3,3,18,0,13,0,
Chad Hall\HallCh00,PHI,0,0,0,0,0,,,0,,0,0,0,0,3,2,12,0,12,0,
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,,,0,,0,0,0,0,3,1,11,0,11,0,
Owen Schmitt\SchmOw00,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,2,0,2,0,
Todd Herremans\HerrTo20,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,2,1,2,0,
Jerome Harrison\HarrJe00,PHI,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
Jon Kitna\KitnJo00,DAL,24,35,242,2,2,1,3,35,83.3,3,27,0,10,0,0,0,0,0,0,
Felix Jones\JoneFe00,DAL,0,0,0,0,0,,,0,,13,41,1,14,4,4,42,0,35,0,
Miles Austin\AustMi00,DAL,0,0,0,0,0,,,0,,1,26,0,26,5,2,22,0,16,0,
Tashard Choice\ChoiTa00,DAL,0,0,0,0,0,,,0,,7,16,0,9,1,1,17,0,17,0,
Jason Witten\WittJa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,7,7,69,2,22,0,
Kevin Ogletree\OgleKe00,DAL,0,0,0,0,0,,,0,,0,0,0,0,5,3,34,0,19,0,
Martellus Bennett\BennMa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,5,4,30,0,11,0,
Roy Williams\WillRo04,DAL,0,0,0,0,0,,,0,,0,0,0,0,4,2,23,0,20,0,
Sam Hurd\HurdSa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,2,1,5,0,5,0,
