Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
David Garrard\GarrDa00,JAX,24,38,294,2,1,1,5,39,93.5,4,8,0,5,0,0,0,0,0,2,
Maurice Jones-Drew\DrewMa00,JAX,0,0,0,0,0,0,,0,,15,46,0,12,3,2,22,0,14,0,
Rashad Jennings\JennRa00,JAX,0,0,0,0,0,,,0,,3,13,0,6,9,7,64,0,25,0,
Mike Thomas\ThomMi01,JAX,0,0,0,0,0,,,0,,0,0,0,0,6,3,63,0,39,1,
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,7,6,63,0,25,0,
Mike Sims-Walker\WalkMi01,JAX,0,0,0,0,0,,,0,,0,0,0,0,8,4,42,2,23,0,
Jason Hill\HillJa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,5,2,40,0,26,0,
Kassim Osgood\OsgoKa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Peyton Manning\MannPe00,IND,29,39,229,2,0,1,8,27,105.6,0,0,0,0,0,0,0,0,0,0,
Donald Brown\BrowDo00,IND,0,0,0,0,0,,,0,,14,129,1,49,1,1,4,0,4,0,
Dominic Rhodes\RhodDo00,IND,0,0,0,0,0,,,0,,9,26,0,14,3,1,4,0,4,0,
Austin Collie\CollAu00,IND,0,0,0,0,0,,,0,,0,0,0,0,10,8,87,2,27,0,
Pierre Garcon\GarcPi00,IND,0,0,0,0,0,,,0,,0,0,0,0,6,5,44,0,14,0,
Jacob Tamme\TammJa00,IND,0,0,0,0,0,,,0,,0,0,0,0,7,7,34,0,9,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,,,0,,0,0,0,0,9,5,34,0,13,0,
Blair White\WhitBl00,IND,0,0,0,0,0,,,0,,0,0,0,0,2,1,16,0,16,0,
Gijon Robinson\RobiGi21,IND,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
Javarris James\JameJa00,IND,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,
