Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Mark Sanchez\SancMa00,NYJ,19,29,170,0,0,1,0,38,81.1,3,15,1,7,0,0,0,0,0,0,
LaDainian Tomlinson\TomlLa00,NYJ,0,0,0,0,0,,,0,,11,49,0,11,1,1,6,0,6,0,
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,,,0,,12,40,0,6,2,1,5,0,5,0,
Brad Smith\SmitBr01,NYJ,0,0,0,0,0,0,,0,,1,2,0,2,0,0,0,0,0,0,
Braylon Edwards\EdwaBr00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,11,8,100,0,38,0,
Santonio Holmes\HolmSa00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,10,6,40,0,11,0,
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,,,0,,0,0,0,0,4,3,19,0,11,0,
Ben Roethlisberger\RoetBe00,PIT,23,44,264,1,0,3,32,29,78.2,2,25,0,22,0,0,0,0,0,2,
Rashard Mendenhall\MendRa00,PIT,0,0,0,0,0,,,0,,17,99,1,21,1,0,0,0,0,0,
Mike Wallace\WallMi00,PIT,0,0,0,0,0,,,0,,1,8,0,8,10,7,102,0,23,0,
Mewelde Moore\MoorMe00,PIT,0,0,0,0,0,,,0,,4,7,0,6,1,1,0,0,0,0,
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,,,0,,1,7,0,7,0,0,0,0,0,0,
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,,,0,,0,0,0,0,13,7,78,0,29,0,
Hines Ward\WardHi00,PIT,0,0,0,0,0,,,0,,0,0,0,0,3,2,34,0,18,0,
Matt Spaeth\SpaeMa00,PIT,0,0,0,0,0,,,0,,0,0,0,0,8,3,27,1,13,0,
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,,,0,,0,0,0,0,3,2,15,0,16,0,
Antwaan Randle El\RandAn00,PIT,0,0,0,0,0,0,,0,,0,0,0,0,1,1,8,0,8,0,
