Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,12,19,102,2,1,1,5,22,90.2,3,16,0,13,0,0,0,0,0,1,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,,,0,,25,92,0,11,2,1,0,0,0,0,
Willis McGahee\McGaWi00,BAL,0,0,0,0,0,,,0,,8,34,0,9,0,0,0,0,0,0,
Le'Ron McClain\McClLe00,BAL,0,0,0,0,0,,,0,,2,19,0,16,1,1,5,0,5,0,
Derrick Mason\MasoDe00,BAL,0,0,0,0,0,,,0,,0,0,0,0,6,4,50,1,22,0,
T.J. Houshmandzadeh\HousTJ00,BAL,0,0,0,0,0,,,0,,0,0,0,0,4,4,32,1,15,0,
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,,0,,0,0,0,0,4,2,15,0,9,0,
Colt McCoy\McCoCo00,CLE,15,29,149,0,3,0,0,28,27.0,4,30,0,15,0,0,0,0,0,0,
Mohamed Massaquoi\MassMo00,CLE,1,1,29,1,0,0,0,29,158.3,0,0,0,0,6,2,14,0,11,1,
Peyton Hillis\HillPe00,CLE,0,0,0,0,0,0,,0,,12,35,0,7,1,1,5,0,5,0,
Mike Bell\BellMi00,CLE,0,0,0,0,0,,,0,,7,27,0,9,2,2,48,0,28,0,
Josh Cribbs\CribJo01,CLE,0,0,0,0,0,0,,0,,2,8,0,5,2,1,9,0,9,0,
Lawrence Vickers\VickLa00,CLE,0,0,0,0,0,,,0,,1,2,0,2,0,0,0,0,0,0,
Chansi Stuckey\StucCh20,CLE,0,0,0,0,0,,,0,,0,0,0,0,6,4,39,0,16,0,
Brian Robiskie\RobiBr00,CLE,0,0,0,0,0,,,0,,0,0,0,0,5,2,35,1,29,0,
Ben Watson\WatsBe00,CLE,0,0,0,0,0,,,0,,0,0,0,0,5,3,22,0,10,0,
Alex Smith\SmitAl02,CLE,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
