Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Webb\WebbJo00,MIN,17,26,195,0,0,2,19,46,87.8,6,31,1,9,0,0,0,0,0,0,
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,,,0,,22,118,1,27,1,1,11,0,11,1,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,,,0,,2,6,0,7,8,7,100,0,46,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,,,0,,1,6,0,6,0,0,0,0,0,0,
Visanthe Shiancoe\ShiaVi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,5,3,32,0,23,0,
Bernard Berrian\BerrBe00,MIN,0,0,0,0,0,,,0,,0,0,0,0,4,2,16,0,8,0,
Sidney Rice\RiceSi01,MIN,0,0,0,0,0,,,0,,0,0,0,0,5,1,16,0,16,0,
Naufahu Tahi\TahiNa00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,
Lorenzo Booker\BookLo00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
Jim Kleinsasser\KleiJi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,3,0,3,0,
Michael Vick\VickMi00,PHI,25,43,263,1,1,6,39,28,74.1,8,63,1,14,0,0,0,0,0,2,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,,,0,,13,44,0,10,5,4,41,0,28,0,
Brent Celek\CeleBr00,PHI,0,0,0,0,0,,,0,,0,0,0,0,12,10,97,0,22,0,
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,,,0,,0,0,0,0,8,6,74,0,28,0,
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,,,0,,1,0,0,0,12,2,32,0,21,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,,,0,,0,0,0,0,4,2,16,0,10,0,
Clay Harbor\HarbCl00,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,3,1,3,0,
