Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Charlie Whitehurst\WhitCh02,SEA,11,18,66,0,0,3,6,14,68.3,3,5,0,5,0,0,0,0,0,0,
Matt Hasselbeck\HassMa00,SEA,3,4,24,0,0,0,0,9,89.6,1,1,1,1,0,0,0,0,0,0,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,,,0,,14,53,0,29,1,0,0,0,0,0,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,,0,,1,16,1,16,0,0,0,0,0,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,,,0,,8,12,0,5,2,2,5,0,9,0,
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,,0,,1,3,0,3,0,0,0,0,0,0,
John Carlson\CarlJo00,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,3,27,0,12,0,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,2,18,0,14,0,
Mike Williams\WillMi03,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,2,15,0,9,0,
Golden Tate\TateGo00,SEA,0,0,0,0,0,,,0,,0,0,0,0,3,3,10,0,5,0,
Cameron Morrah\MorrCa00,SEA,0,0,0,0,0,,,0,,0,0,0,0,3,1,9,0,9,0,
Brandon Stokley\StokBr00,SEA,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
Josh Freeman\FreeJo00,TAM,21,26,237,5,0,2,21,29,144.2,4,23,0,11,0,0,0,0,0,1,
Josh Johnson\JohnJo05,TAM,2,2,15,0,0,0,0,15,97.9,0,0,0,0,0,0,0,0,0,0,
LeGarrette Blount\BlouLe00,TAM,0,0,0,0,0,,,0,,18,164,0,53,1,1,3,0,3,1,
Cadillac Williams\WillCa02,TAM,0,0,0,0,0,,,0,,4,21,0,15,3,3,22,0,9,0,
Kellen Winslow\WinsKe01,TAM,0,0,0,0,0,,,0,,0,0,0,0,7,7,98,2,29,0,
Mike Williams\WillMi04,TAM,0,0,0,0,0,,,0,,0,0,0,0,7,3,44,2,20,0,
Dezmon Briscoe\BrisDe00,TAM,0,0,0,0,0,,,0,,0,0,0,0,2,2,28,0,15,0,
Micheal Spurlock\SpurMi00,TAM,0,0,0,0,0,0,,0,,0,0,0,0,1,1,20,0,20,1,
Arrelious Benn\BennAr00,TAM,0,0,0,0,0,,,0,,0,0,0,0,1,1,16,0,16,0,
Maurice Stovall\StovMa00,TAM,0,0,0,0,0,,,0,,0,0,0,0,3,3,12,1,10,0,
Preston Parker\ParkPr00,TAM,0,0,0,0,0,,,0,,0,0,0,0,2,1,5,0,5,0,
Earnest Graham\GrahEa00,TAM,0,0,0,0,0,0,,0,,0,0,0,0,1,1,4,0,4,0,
