Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Richard Bartel\BartRi00,ARI,16,28,150,0,1,2,12,31,57.1,0,0,0,0,0,0,0,0,0,0,
John Skelton\SkelJo00,ARI,14,25,92,1,1,4,29,18,60.7,2,9,0,6,0,0,0,0,0,1,
Tim Hightower\HighTi00,ARI,0,0,0,0,0,0,0,0,,12,30,0,10,5,2,2,0,6,0,
Jason Wright\WrigJa01,ARI,0,0,0,0,0,0,0,0,,3,23,0,10,6,3,8,0,5,0,
Beanie Wells\WellCh00,ARI,0,0,0,0,0,0,0,0,,5,16,0,7,1,1,6,0,6,0,
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,17,11,125,1,31,0,
Steve Breaston\BreaSt00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,26,0,13,0,
Stephen Williams\WillSt01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,17,0,
Max Komar\KomaMa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,13,0,
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,23,0,8,1,
Alex Smith\SmitAl03,SFO,15,29,276,2,0,2,14,59,107.8,1,-1,0,-1,0,0,0,0,0,0,
Brian Westbrook\WestBr00,SFO,0,0,0,0,0,,,0,,13,79,2,30,4,1,14,0,14,0,
Anthony Dixon\DixoAn00,SFO,0,0,0,0,0,,,0,,11,22,0,8,1,1,2,0,2,0,
Vernon Davis\DaviVe00,SFO,0,0,0,0,0,,,0,,0,0,0,0,6,3,96,1,59,0,
Josh Morgan\MorgJo00,SFO,0,0,0,0,0,,,0,,0,0,0,0,4,3,59,0,32,0,
Michael Crabtree\CrabMi00,SFO,0,0,0,0,0,,,0,,0,0,0,0,6,4,47,0,18,0,
Ted Ginn\GinnTe00,SFO,0,0,0,0,0,,,0,,0,0,0,0,4,2,41,1,37,1,
Delanie Walker\WalkHu00,SFO,0,0,0,0,0,,,0,,0,0,0,0,3,1,17,0,17,0,
