Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Chad Henne\HennCh01,MIA,9,15,114,1,0,2,8,46,106.0,2,0,0,1,0,0,0,0,0,0,
Ronnie Brown\BrowRo05,MIA,0,0,0,0,0,0,,0,,13,80,0,51,1,1,3,0,3,1,
Ricky Williams\WillRi00,MIA,0,0,0,0,0,,,0,,10,30,0,8,0,0,0,0,0,1,
Lousaka Polite\PoliLo00,MIA,0,0,0,0,0,,,0,,4,10,0,4,1,0,0,0,0,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,,0,,0,0,0,0,8,4,71,0,46,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,,,0,,0,0,0,0,3,3,28,1,19,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,,,0,,0,0,0,0,1,1,12,0,12,0,
Brett Favre\FavrBr00,MIN,22,36,225,0,3,3,17,33,44.3,0,0,0,0,0,0,0,0,0,1,
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,,,0,,28,145,1,23,8,5,41,0,16,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,,,0,,4,10,0,6,1,1,5,0,5,0,
Naufahu Tahi\TahiNa00,MIN,0,0,0,0,0,,,0,,1,1,0,1,0,0,0,0,0,0,
Visanthe Shiancoe\ShiaVi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,9,6,86,0,33,0,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,,,0,,0,0,0,0,7,5,32,0,13,0,
Bernard Berrian\BerrBe00,MIN,0,0,0,0,0,,,0,,0,0,0,0,5,2,24,0,20,1,
Jim Kleinsasser\KleiJi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,20,0,20,0,
Greg Lewis\LewiGr01,MIN,0,0,0,0,0,,,0,,0,0,0,0,4,1,14,0,14,0,
Greg Camarillo\CamaGr00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,3,0,3,0,
