Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Michael Vick\VickMi00,PHI,21,34,284,2,0,5,36,53,108.0,8,37,0,12,0,0,0,0,0,2,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,,,0,,16,120,3,46,4,4,8,0,8,0,
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,,,0,,1,5,0,5,7,4,135,1,53,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,,,0,,0,0,0,0,5,3,33,0,18,0,
Brent Celek\CeleBr00,PHI,0,0,0,0,0,,,0,,0,0,0,0,5,3,27,0,11,0,
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,,,0,,0,0,0,0,6,3,26,1,11,0,
Owen Schmitt\SchmOw00,PHI,0,0,0,0,0,,,0,,0,0,0,0,2,2,21,0,13,0,
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,,,0,,0,0,0,0,3,1,20,0,20,0,
Garrett Mills\MillGa01,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,14,0,14,0,
Mike Bell\BellMi00,PHI,0,0,0,0,0,,,0,,4,0,0,4,1,0,0,0,0,0,
Shaun Hill\HillSh00,DET,25,45,335,2,2,2,6,75,75.7,3,16,0,13,0,0,0,0,0,1,
Jahvid Best\BestJa00,DET,0,0,0,0,0,0,,0,,17,78,2,33,14,9,154,1,75,0,
Aaron Brown\BrowAa00,DET,0,0,0,0,0,,,0,,3,13,0,7,3,2,10,0,8,0,
Maurice Morris\MorrMa00,DET,0,0,0,0,0,,,0,,3,8,0,5,0,0,0,0,0,0,
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,,,0,,0,0,0,0,8,7,108,0,35,0,
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,,,0,,0,0,0,0,11,4,50,1,19,0,
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,,,0,,0,0,0,0,4,1,5,0,5,0,
Nate Burleson\BurlNa00,DET,0,0,0,0,0,,,0,,0,0,0,0,1,1,4,0,4,0,
Bryant Johnson\JohnBr02,DET,0,0,0,0,0,,,0,,0,0,0,0,4,1,4,0,4,0,
