Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,CIN,19,37,195,1,2,1,10,27,53.3,5,8,0,9,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,,,0,,27,81,1,11,3,2,9,1,7,1,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,,,0,,3,16,0,6,2,1,6,0,6,0,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,,,0,,2,15,0,12,0,0,0,0,0,0,
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,6,4,59,0,27,0,
Terrell Owens\OwenTe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,9,4,42,0,17,0,
Jordan Shipley\ShipJo00,CIN,0,0,0,0,0,,,0,,0,0,0,0,3,3,37,0,22,0,
Chad Johnson\JohnCh01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,34,0,13,0,
Andre Caldwell\CaldAn00,CIN,0,0,0,0,0,,,0,,0,0,0,0,2,1,8,0,8,0,
Jimmy Clausen\ClauJi00,CAR,16,33,188,0,1,1,8,44,53.6,6,10,0,5,0,0,0,0,0,3,
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,,,0,,10,64,0,26,0,0,0,0,0,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,,,0,,8,13,1,7,2,2,18,0,15,1,
Mike Goodson\GoodMi00,CAR,0,0,0,0,0,,,0,,0,0,0,0,8,4,47,0,20,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,,0,,0,0,0,0,6,1,44,0,44,0,
David Gettis\GettDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,3,32,0,14,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,3,22,0,11,0,
Jeff King\KingJe00,CAR,0,0,0,0,0,,,0,,0,0,0,0,3,1,13,0,13,0,
Dante Rosario\RosaDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,3,2,12,0,8,0,
