Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Seneca Wallace\WallSe00,CLE,18,24,141,1,0,2,10,20,103.0,1,0,0,0,0,0,0,0,0,1,
Peyton Hillis\HillPe00,CLE,0,0,0,0,0,0,,0,,22,144,1,48,8,7,36,0,11,0,
Josh Cribbs\CribJo01,CLE,0,0,0,0,0,0,,0,,2,20,0,19,8,5,58,0,20,0,
James Davis\DaviJa03,CLE,0,0,0,0,0,,,0,,4,9,0,4,0,0,0,0,0,0,
Ben Watson\WatsBe00,CLE,0,0,0,0,0,,,0,,0,0,0,0,6,5,47,1,20,0,
Lawrence Vickers\VickLa00,CLE,0,0,0,0,0,,,0,,0,0,0,0,1,1,0,0,0,0,
Joe Flacco\FlacJo00,BAL,22,31,262,3,0,0,0,34,128.7,4,-4,0,-1,0,0,0,0,0,0,
Anquan Boldin\BoldAn00,BAL,1,1,-6,0,0,0,0,-6,79.2,0,0,0,0,11,8,142,3,34,0,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,,,0,,15,80,0,25,5,4,16,0,12,0,
Willis McGahee\McGaWi00,BAL,0,0,0,0,0,,,0,,7,29,0,9,0,0,0,0,0,0,
Le'Ron McClain\McClLe00,BAL,0,0,0,0,0,,,0,,1,4,0,4,2,2,18,0,11,0,
Todd Heap\HeapTo00,BAL,0,0,0,0,0,,,0,,0,0,0,0,5,4,46,0,16,0,
Derrick Mason\MasoDe00,BAL,0,0,0,0,0,,,0,,0,0,0,0,8,4,30,0,15,0,
T.J. Houshmandzadeh\HousTJ00,BAL,0,0,0,0,0,,,0,,0,0,0,0,1,1,4,0,4,0,
