Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Donovan McNabb\McNaDo00,WAS,19,32,236,1,1,1,3,56,79.7,2,25,0,26,0,0,0,0,0,0,
Ryan Torain\ToraRy00,WAS,0,0,0,0,0,,,0,,7,46,0,36,1,0,0,0,0,0,
Clinton Portis\PortCl00,WAS,0,0,0,0,0,,,0,,7,44,0,27,1,1,14,0,14,0,
Mike Sellers\SellMi00,WAS,0,0,0,0,0,,,0,,1,1,0,1,2,2,10,0,11,0,
Santana Moss\MossSa00,WAS,0,0,0,0,0,,,0,,0,0,0,0,8,6,124,1,56,1,
Chris Cooley\CoolCh00,WAS,0,0,0,0,0,,,0,,0,0,0,0,8,5,53,0,19,0,
Keiland Williams\WillKe03,WAS,0,0,0,0,0,,,0,,0,0,0,0,4,2,14,0,9,0,
Fred Davis\DaviFr01,WAS,0,0,0,0,0,,,0,,0,0,0,0,2,2,11,0,6,0,
Roydell Williams\WillRo05,WAS,0,0,0,0,0,,,0,,0,0,0,0,3,1,10,0,10,0,
Sam Bradford\BradSa00,STL,23,37,235,1,1,1,3,30,78.1,1,2,0,2,0,0,0,0,0,0,
Steven Jackson\JackSt00,STL,0,0,0,0,0,,,0,,10,58,1,42,2,1,6,0,6,0,
Kenneth Darby\DarbKe00,STL,0,0,0,0,0,,,0,,14,49,1,13,2,1,8,0,8,0,
Keith Toston\TostKe00,STL,0,0,0,0,0,,,0,,11,22,0,8,0,0,0,0,0,0,
Mike Karney\KarnMi00,STL,0,0,0,0,0,,,0,,1,2,0,2,1,1,3,0,3,0,
Mark Clayton\ClayMa01,STL,0,0,0,0,0,,,0,,0,0,0,0,6,5,85,0,30,0,
Danny Amendola\AmenDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,7,6,56,0,18,0,
Brandon Gibson\GibsBr00,STL,0,0,0,0,0,,,0,,0,0,0,0,8,3,33,0,16,0,
Daniel Fells\FellDa00,STL,0,0,0,0,0,,,0,,0,0,0,0,4,3,22,1,12,0,
Fendi Onobun\OnobFe00,STL,0,0,0,0,0,,,0,,0,0,0,0,4,2,15,0,8,0,
Mardy Gilyard\GilyMa00,STL,0,0,0,0,0,,,0,,0,0,0,0,2,1,7,0,7,1,
