Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,IND,33,46,352,2,1,1,4,42,99.2,1,-1,0,-1,0,0,0,0,0,0,
Joseph Addai\AddaJo00,IND,0,0,0,0,0,,,0,,16,63,2,7,3,3,19,0,8,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,,,0,,0,0,0,0,19,15,196,0,42,1,
Dallas Clark\ClarDa00,IND,0,0,0,0,0,,,0,,0,0,0,0,11,7,68,1,16,0,
Austin Collie\CollAu00,IND,0,0,0,0,0,,,0,,0,0,0,0,7,5,39,1,14,0,
Blair White\WhitBl00,IND,0,0,0,0,0,,,0,,0,0,0,0,4,2,20,0,14,0,
Brody Eldridge\EldrBr00,IND,0,0,0,0,0,,,0,,0,0,0,0,2,1,10,0,10,0,
Mike Hart\HartMi00,IND,0,0,0,0,0,,,0,,2,-4,0,2,0,0,0,0,0,0,
David Garrard\GarrDa00,JAX,17,22,163,2,0,0,0,22,127.7,5,44,1,25,0,0,0,0,0,0,
Maurice Jones-Drew\DrewMa00,JAX,0,0,0,0,0,0,,0,,26,105,1,14,2,2,16,1,8,0,
Mike Thomas\ThomMi01,JAX,0,0,0,0,0,,,0,,1,19,0,19,7,5,68,0,21,0,
Rashad Jennings\JennRa00,JAX,0,0,0,0,0,,,0,,3,6,0,4,2,2,9,0,6,0,
Tiquan Underwood\UndeTi00,JAX,0,0,0,0,0,,,0,,0,0,0,0,5,3,41,0,22,0,
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,2,2,22,1,15,0,
Greg Jones\JoneGr01,JAX,0,0,0,0,0,,,0,,0,0,0,0,2,2,4,0,6,0,
Kassim Osgood\OsgoKa00,JAX,0,0,0,0,0,,,0,,0,0,0,0,1,1,3,0,3,0,
