Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,27,42,297,3,2,0,0,45,89.1,6,9,0,8,0,0,0,0,0,0,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,,,0,,16,67,0,23,4,3,22,0,9,0,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,,,0,,10,41,1,14,0,0,0,0,0,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,17,12,130,2,27,0,
Steve Smith\SmitSt02,NYG,0,0,0,0,0,,,0,,0,0,0,0,8,6,89,1,45,0,
Kevin Boss\BossKe00,NYG,0,0,0,0,0,,,0,,0,0,0,0,6,4,40,0,19,0,
Travis Beckum\BeckTr00,NYG,0,0,0,0,0,,,0,,0,0,0,0,2,1,8,0,8,0,
Ramses Barden\BardRa00,NYG,0,0,0,0,0,,,0,,0,0,0,0,1,1,8,0,8,0,
Bear Pascoe\PascBe00,NYG,0,0,0,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,
Matt Schaub\SchaMa00,HOU,16,34,196,0,1,3,25,48,53.1,1,-1,0,-1,0,0,0,0,0,2,
Arian Foster\FostAr00,HOU,0,0,0,0,0,,,0,,11,25,0,9,4,2,2,0,6,0,
Derrick Ward\WardDe01,HOU,0,0,0,0,0,,,0,,1,1,1,1,1,1,12,0,12,0,
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,,,0,,0,0,0,0,13,5,95,0,48,0,
Owen Daniels\DaniOw00,HOU,0,0,0,0,0,,,0,,0,0,0,0,5,3,45,0,19,0,
Kevin Walter\WaltKe00,HOU,0,0,0,0,0,,,0,,0,0,0,0,5,2,24,0,14,0,
Vonta Leach\LeacVo00,HOU,0,0,0,0,0,,,0,,0,0,0,0,2,2,18,0,13,0,
David Anderson\AndeDa01,HOU,0,0,0,0,0,,,0,,0,0,0,0,2,1,0,0,0,0,
Steve Slaton\SlatSt00,HOU,0,0,0,0,0,,,0,,2,-1,0,3,0,0,0,0,0,0,
