Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,KAN,20,29,201,3,0,1,12,42,122.9,1,8,0,8,0,0,0,0,0,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,,,0,,19,100,1,19,2,1,10,0,10,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,,,0,,16,93,0,16,4,4,24,0,23,0,
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,,,0,,2,27,0,20,4,3,13,0,6,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,,,0,,0,0,0,0,9,6,108,2,42,0,
Tony Moeaki\MoeaTo00,KAN,0,0,0,0,0,,,0,,0,0,0,0,3,2,21,0,11,0,
Leonard Pope\PopeLe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,12,0,12,0,
Jake O'Connell\OConJa00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,7,0,7,0,
Mike Cox\Cox_Mi20,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,4,0,4,0,
Mike Vrabel\VrabMi20,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,2,1,2,0,
Jeremy Horne\HornJe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,
Matt Schaub\SchaMa00,HOU,25,33,305,2,0,2,16,44,123.9,1,3,0,3,0,0,0,0,0,0,
Arian Foster\FostAr00,HOU,0,0,0,0,0,,,0,,18,71,2,21,6,6,26,0,10,0,
Derrick Ward\WardDe01,HOU,0,0,0,0,0,,,0,,3,58,1,38,1,1,12,0,12,0,
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,,,0,,0,0,0,0,13,8,138,1,44,0,
Owen Daniels\DaniOw00,HOU,0,0,0,0,0,,,0,,0,0,0,0,7,5,79,0,27,0,
Jacoby Jones\JoneJa03,HOU,0,0,0,0,0,,,0,,0,0,0,0,4,4,45,0,17,0,
Joel Dreessen\DreeJo00,HOU,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,1,5,0,
