Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,CIN,36,50,412,3,0,3,27,64,116.4,0,0,0,0,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,,,0,,20,70,0,11,2,1,6,0,6,1,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,,,0,,1,14,0,14,5,5,43,0,25,0,
Jordan Shipley\ShipJo00,CIN,0,0,0,0,0,,,0,,0,0,0,0,6,6,131,1,64,0,
Chad Johnson\JohnCh01,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,108,1,18,0,
Terrell Owens\OwenTe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,13,9,88,1,19,0,
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,,,0,,0,0,0,0,6,4,26,0,9,1,
Andre Caldwell\CaldAn00,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,10,0,10,0,
Matt Ryan\RyanMa00,ATL,24,33,299,3,1,0,0,46,118.1,1,5,0,5,0,0,0,0,0,0,
Michael Turner\TurnMi00,ATL,0,0,0,0,0,,,0,,23,121,2,36,3,2,23,0,19,0,
Gartrell Johnson\JohnGa01,ATL,0,0,0,0,0,,,0,,1,23,0,23,0,0,0,0,0,0,
Jason Snelling\SnelJa00,ATL,0,0,0,0,0,,,0,,5,4,0,4,4,4,15,0,9,0,
Roddy White\WhitRo00,ATL,0,0,0,0,0,,,0,,0,0,0,0,13,11,201,2,46,1,
Tony Gonzalez\GonzTo00,ATL,0,0,0,0,0,,,0,,0,0,0,0,4,2,27,0,22,0,
Michael Jenkins\JenkMi00,ATL,0,0,0,0,0,,,0,,0,0,0,0,6,3,25,0,11,0,
Brian Finneran\FinnBr00,ATL,0,0,0,0,0,,,0,,0,0,0,0,2,2,8,1,5,0,
