Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brett Favre\FavrBr00,MIN,16,29,212,1,3,1,6,37,50.4,0,0,0,0,0,0,0,0,0,0,
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,,,0,,28,131,1,17,2,2,41,0,26,0,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,,,0,,3,41,1,17,8,5,65,0,37,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,,,0,,5,24,0,11,2,1,6,0,6,0,
Bernard Berrian\BerrBe00,MIN,0,0,0,0,0,,,0,,0,0,0,0,2,1,30,0,30,0,
Randy Moss\MossRa00,MIN,0,0,0,0,0,,,0,,0,0,0,0,7,3,30,1,13,0,
Visanthe Shiancoe\ShiaVi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,6,3,30,0,14,0,
Jim Kleinsasser\KleiJi00,MIN,0,0,0,0,0,,,0,,0,0,0,0,1,1,10,0,10,0,
Aaron Rodgers\RodgAa00,GNB,21,34,295,2,2,0,0,45,84.8,3,14,0,11,0,0,0,0,0,0,
Matt Flynn\FlynMa00,GNB,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,
Brandon Jackson\JackBr00,GNB,0,0,0,0,0,,,0,,13,58,1,14,3,3,46,0,36,1,
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,,,0,,7,12,0,4,0,0,0,0,0,0,
James Jones\JoneJa04,GNB,0,0,0,0,0,,,0,,0,0,0,0,8,4,107,0,45,0,
Greg Jennings\JennGr00,GNB,0,0,0,0,0,,,0,,0,0,0,0,10,6,74,1,24,0,
Donald Lee\LeexDo00,GNB,0,0,0,0,0,,,0,,0,0,0,0,2,2,27,0,16,0,
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,,,0,,0,0,0,0,7,4,25,0,8,0,
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,,,0,,0,0,0,0,3,2,16,1,9,0,
