Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,25,35,306,4,3,1,9,32,100.4,1,-1,0,-1,0,0,0,0,0,1,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,,,0,,24,126,0,22,2,2,12,0,10,1,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,,,0,,12,75,1,30,0,0,0,0,0,1,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,14,9,108,2,24,0,
Steve Smith\SmitSt02,NYG,0,0,0,0,0,,,0,,0,0,0,0,11,9,101,1,32,0,
Mario Manningham\MannMa01,NYG,0,0,0,0,0,,,0,,0,0,0,0,4,3,40,1,25,0,
Kevin Boss\BossKe00,NYG,0,0,0,0,0,,,0,,0,0,0,0,1,1,23,0,23,0,
Ramses Barden\BardRa00,NYG,0,0,0,0,0,,,0,,0,0,0,0,1,1,22,0,22,0,
Jon Kitna\KitnJo00,DAL,16,33,187,2,0,3,13,25,86.3,0,0,0,0,0,0,0,0,0,1,
Tony Romo\RomoTo00,DAL,5,7,39,1,0,0,0,14,124.4,0,0,0,0,0,0,0,0,0,0,
Felix Jones\JoneFe00,DAL,0,0,0,0,0,,,0,,9,35,0,17,3,3,27,0,25,0,
Marion Barber\BarbMa01,DAL,0,0,0,0,0,0,,0,,4,6,0,5,1,1,7,0,7,0,
Jason Witten\WittJa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,13,9,95,1,24,1,
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,,,0,,0,0,0,0,7,4,54,2,19,0,
Miles Austin\AustMi00,DAL,0,0,0,0,0,,,0,,0,0,0,0,8,3,38,0,17,0,
Martellus Bennett\BennMa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
Sam Hurd\HurdSa00,DAL,0,0,0,0,0,,,0,,0,0,0,0,3,0,0,0,0,0,
