Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kevin Kolb\KolbKe00,PHI,26,48,231,1,2,1,4,37,56.9,3,18,0,15,0,0,0,0,0,1,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,,,0,,16,48,0,8,7,6,54,0,11,0,
Chad Hall\HallCh00,PHI,0,0,0,0,0,,,0,,4,19,0,8,2,1,5,0,5,0,
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,,,0,,1,14,0,14,14,5,42,0,17,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,,,0,,0,0,0,0,8,6,60,0,16,0,
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,,,0,,0,0,0,0,6,3,51,1,37,0,
Brent Celek\CeleBr00,PHI,0,0,0,0,0,,,0,,0,0,0,0,5,2,8,0,4,0,
Owen Schmitt\SchmOw00,PHI,0,0,0,0,0,,,0,,0,0,0,0,3,2,6,0,3,0,
Garrett Mills\MillGa01,PHI,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
Kerry Collins\CollKe00,TEN,17,31,276,3,2,3,23,80,90.3,0,0,0,0,0,0,0,0,0,1,
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,,,0,,24,66,0,12,4,2,7,0,4,0,
Javon Ringer\RingJa00,TEN,0,0,0,0,0,,,0,,2,9,0,5,0,0,0,0,0,0,
Kenny Britt\BritKe00,TEN,0,0,0,0,0,,,0,,0,0,0,0,10,7,225,3,80,0,
Damian Williams\WillDa04,TEN,0,0,0,0,0,,,0,,0,0,0,0,4,3,25,0,16,0,
Bo Scaife\ScaiBo00,TEN,0,0,0,0,0,,,0,,0,0,0,0,5,3,7,0,3,0,
Nate Washington\WashNa00,TEN,0,0,0,0,0,,,0,,0,0,0,0,4,1,7,0,7,0,
Lavelle Hawkins\HawkLa00,TEN,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
