Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,19,27,302,2,0,3,12,53,132.0,5,1,0,2,0,0,0,0,0,3,
Rashard Mendenhall\MendRa00,PIT,0,0,0,0,0,,,0,,15,37,0,9,1,1,6,0,6,0,
Mewelde Moore\MoorMe00,PIT,0,0,0,0,0,,,0,,4,11,0,16,4,4,48,0,29,0,
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,,,0,,3,9,0,6,0,0,0,0,0,0,
Hines Ward\WardHi00,PIT,0,0,0,0,0,,,0,,0,0,0,0,11,7,131,1,43,0,
Mike Wallace\WallMi00,PIT,0,0,0,0,0,,,0,,0,0,0,0,4,2,53,1,53,0,
Heath Miller\MillHe00,PIT,0,0,0,0,0,,,0,,0,0,0,0,3,3,33,0,16,0,
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,,,0,,0,0,0,0,1,1,18,0,18,1,
Antwaan Randle El\RandAn00,PIT,0,0,0,0,0,0,,0,,0,0,0,0,3,1,13,0,13,0,
Chad Henne\HennCh01,MIA,23,36,257,1,1,1,8,26,82.8,0,0,0,0,0,0,0,0,0,0,
Ricky Williams\WillRi00,MIA,0,0,0,0,0,,,0,,11,48,0,11,2,0,0,0,0,0,
Ronnie Brown\BrowRo05,MIA,0,0,0,0,0,0,,0,,9,14,0,6,4,2,20,0,15,0,
Lousaka Polite\PoliLo00,MIA,0,0,0,0,0,,,0,,1,2,0,2,2,1,2,0,2,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,,,0,,0,0,0,0,7,6,66,1,26,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,,0,,0,0,0,0,9,5,57,0,19,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,,,0,,0,0,0,0,5,5,57,0,24,1,
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,,,0,,0,0,0,0,5,3,49,0,22,0,
Roberto Wallace\WallRo01,MIA,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
