Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,24,48,223,1,1,3,32,37,61.4,6,43,0,14,0,0,0,0,0,1,
Fred Jackson\JackFr02,BUF,0,0,0,0,0,,,0,,20,64,0,9,8,3,11,0,5,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,,,0,,6,17,0,6,6,4,28,0,14,1,
Roscoe Parrish\ParrRo00,BUF,0,0,0,0,0,,,0,,1,13,0,13,8,4,66,0,37,0,
Lee Evans\EvanLe00,BUF,0,0,0,0,0,,,0,,0,0,0,0,9,5,56,0,21,1,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,,,0,,0,0,0,0,10,5,37,1,12,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,,,0,,0,0,0,0,5,3,25,0,9,0,
Matt Cassel\CassMa00,KAN,14,26,152,1,0,3,12,31,84.1,2,13,0,8,0,0,0,0,0,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,,,0,,22,177,0,32,5,4,61,0,31,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,,,0,,19,77,0,13,1,1,5,0,5,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,,,0,,1,4,0,4,6,3,16,1,8,0,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,,,0,,1,3,0,3,0,0,0,0,0,0,
Tony Moeaki\MoeaTo00,KAN,0,0,0,0,0,,,0,,0,0,0,0,4,3,45,0,18,0,
Leonard Pope\PopeLe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,4,2,20,0,14,0,
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
