Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Hasselbeck\HassMa00,SEA,13,32,163,0,1,8,46,35,44.1,0,0,0,0,0,0,0,0,0,1,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,,0,,5,29,0,21,0,0,0,0,0,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,,,0,,5,11,0,5,6,3,26,0,13,0,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,,,0,,9,7,0,7,0,0,0,0,0,0,
John Carlson\CarlJo00,SEA,0,0,0,0,0,,,0,,0,0,0,0,4,3,47,0,35,0,
Golden Tate\TateGo00,SEA,0,0,0,0,0,,,0,,0,0,0,0,7,2,36,0,24,0,
Mike Williams\WillMi03,SEA,0,0,0,0,0,,,0,,0,0,0,0,5,1,27,0,27,0,
Brandon Stokley\StokBr00,SEA,0,0,0,0,0,,,0,,0,0,0,0,1,1,13,0,13,0,
Chris Baker\BakeCh00,SEA,0,0,0,0,0,,,0,,0,0,0,0,1,1,5,0,5,0,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,,,0,,0,0,0,0,3,1,5,0,5,0,
Deon Butler\ButlDe00,SEA,0,0,0,0,0,,,0,,0,0,0,0,5,1,4,0,4,0,
Jason Campbell\CampJa00,OAK,15,27,310,2,0,2,4,69,120.9,4,4,0,3,0,0,0,0,0,0,
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,,0,,21,111,0,49,2,2,24,0,13,0,
Michael Bush\BushMi00,OAK,0,0,0,0,0,,,0,,9,51,1,30,1,1,55,0,55,0,
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,,0,,2,32,0,31,4,3,90,1,51,0,
Darrius Heyward-Bey\HeywDa00,OAK,0,0,0,0,0,,,0,,1,30,0,30,9,5,105,1,69,0,
Jacoby Ford\FordJa01,OAK,0,0,0,0,0,,,0,,1,11,0,11,3,2,22,0,13,0,
Zach Miller\MillZa01,OAK,0,0,0,0,0,,,0,,0,0,0,0,2,1,8,0,8,0,
Khalif Barnes\BarnKh20,OAK,0,0,0,0,0,,,0,,0,0,0,0,1,1,6,0,6,0,
Samson Satele\SateSa20,OAK,0,0,0,0,0,,,0,,1,0,0,0,0,0,0,0,0,1,
Nick Miller\MillNi00,OAK,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
