Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,27,43,253,2,1,0,0,36,84.7,0,0,0,0,0,0,0,0,0,1,
Julius Jones\JoneJu01,NOR,0,0,0,0,0,,,0,,6,68,0,54,3,2,-6,0,2,0,
Chris Ivory\IvorCh00,NOR,0,0,0,0,0,,,0,,12,50,0,11,0,0,0,0,0,0,
Ladell Betts\BettLa00,NOR,0,0,0,0,0,,,0,,13,31,1,12,2,1,1,0,1,0,
Chase Daniel\DaniCh00,NOR,0,0,0,0,0,0,10,0,,1,16,0,16,0,0,0,0,0,0,
Lance Moore\MoorLa00,NOR,0,0,0,0,0,,,0,,0,0,0,0,8,6,77,0,36,0,
Marques Colston\ColsMa00,NOR,0,0,0,0,0,,,0,,0,0,0,0,9,8,65,0,16,0,
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,,,0,,0,0,0,0,4,3,49,1,19,0,
David Thomas\ThomDa02,NOR,0,0,0,0,0,,,0,,0,0,0,0,6,4,45,0,22,0,
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,,,0,,0,0,0,0,5,2,15,0,13,0,
Jeremy Shockey\ShocJe00,NOR,0,0,0,0,0,,,0,,0,0,0,0,2,1,7,1,7,0,
Jimmy Clausen\ClauJi00,CAR,8,18,47,0,1,2,21,13,28.5,1,11,0,11,0,0,0,0,0,0,
Tony Pike\PikeTo00,CAR,6,12,47,0,0,1,10,22,60.1,0,0,0,0,0,0,0,0,0,0,
Matt Moore\MoorMa01,CAR,3,6,13,0,0,1,8,6,56.2,0,0,0,0,0,0,0,0,0,0,
Tyrell Sutton\SuttTy00,CAR,0,0,0,0,0,,,0,,7,41,0,32,3,3,15,0,8,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,,,0,,5,30,0,14,0,0,0,0,0,1,
Mike Goodson\GoodMi00,CAR,0,0,0,0,0,,,0,,9,29,0,11,4,3,18,0,13,0,
Tony Fiammetta\FiamTo00,CAR,0,0,0,0,0,,,0,,1,11,0,11,2,1,2,0,2,0,
Jordan Senn\SennJo00,CAR,0,0,0,0,0,,,0,,1,5,0,5,0,0,0,0,0,0,
David Gettis\GettDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,2,22,0,22,0,
Jeff King\KingJe00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,3,17,0,7,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,,0,,0,0,0,0,3,2,14,0,11,0,
Dante Rosario\RosaDa00,CAR,0,0,0,0,0,,,0,,0,0,0,0,5,2,10,0,6,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,,,0,,0,0,0,0,6,1,9,0,9,0,
