Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh Freeman\FreeJo00,TAM,11,22,189,2,2,1,7,58,72.0,4,26,0,19,0,0,0,0,0,0,
LeGarrette Blount\BlouLe00,TAM,0,0,0,0,0,,,0,,13,46,0,21,0,0,0,0,0,0,
Cadillac Williams\WillCa02,TAM,0,0,0,0,0,,,0,,8,13,0,7,2,1,9,0,9,0,
Preston Parker\ParkPr00,TAM,0,0,0,0,0,,,0,,1,7,0,7,2,0,0,0,0,0,
Arrelious Benn\BennAr00,TAM,0,0,0,0,0,,,0,,1,4,0,4,1,1,14,1,14,0,
Mike Williams\WillMi04,TAM,0,0,0,0,0,,,0,,0,0,0,0,10,4,89,1,58,0,
Micheal Spurlock\SpurMi00,TAM,0,0,0,0,0,0,,0,,0,0,0,0,2,2,46,0,43,0,
Kellen Winslow\WinsKe01,TAM,0,0,0,0,0,,,0,,0,0,0,0,4,3,31,0,13,0,
Matt Ryan\RyanMa00,ATL,24,36,235,1,0,0,0,43,94.1,3,5,0,5,0,0,0,0,0,0,
Michael Turner\TurnMi00,ATL,0,0,0,0,0,,,0,,24,107,2,19,0,0,0,0,0,0,
Jason Snelling\SnelJa00,ATL,0,0,0,0,0,,,0,,5,15,0,10,5,5,24,0,9,0,
Roddy White\WhitRo00,ATL,0,0,0,0,0,,,0,,1,3,0,3,6,4,49,0,22,0,
Tony Gonzalez\GonzTo00,ATL,0,0,0,0,0,,,0,,0,0,0,0,11,8,72,0,16,0,
Michael Jenkins\JenkMi00,ATL,0,0,0,0,0,,,0,,0,0,0,0,4,2,55,0,43,0,
Brian Finneran\FinnBr00,ATL,0,0,0,0,0,,,0,,0,0,0,0,5,3,24,0,14,0,
Michael Palmer\PalmMi00,ATL,0,0,0,0,0,,,0,,0,0,0,0,2,2,11,1,6,0,
