Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,17,25,208,4,0,1,7,35,133.0,3,3,0,3,0,0,0,0,0,1,
Brad Smith\SmitBr01,BUF,0,1,0,0,1,0,0,0,0.0,3,6,0,4,0,0,0,0,0,0,
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,20,112,0,24,1,1,5,0,5,0,
Johnny White\WhitJo01,BUF,0,0,0,0,0,0,0,0,,8,26,0,13,0,0,0,0,0,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,5,16,1,9,1,1,5,0,5,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,66,0,35,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,66,1,27,0,
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,63,2,19,0,
Donald Jones\JoneDo00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,3,1,4,0,
Roscoe Parrish\ParrRo00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Matt Cassel\CassMa00,KAN,22,36,119,1,1,2,14,20,64.5,0,0,0,0,1,1,-4,0,-4,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,10,56,0,22,6,5,9,1,9,1,
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,4,42,0,23,5,5,25,0,10,1,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,0,0,0,,2,7,0,4,1,1,-1,0,-1,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,
Steve Breaston\BreaSt00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,20,0,
Leonard Pope\PopeLe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,24,0,15,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,17,0,15,0,
Jake O'Connell\OConJa00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,
Keary Colbert\ColbKe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,0,5,0,
Jerheme Urban\UrbaJe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
