Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kerry Collins\CollKe00,IND,16,31,197,1,0,3,25,36,82.3,1,0,0,0,0,0,0,0,0,3,
Joseph Addai\AddaJo00,IND,0,0,0,0,0,0,0,0,,8,39,0,13,4,2,13,0,10,0,
Delone Carter\CartDe01,IND,0,0,0,0,0,0,0,0,,7,25,0,8,0,0,0,0,0,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,106,1,36,0,
Dallas Clark\ClarDa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,17,0,
Pierre Garcon\GarcPi00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,39,0,17,0,
Austin Collie\CollAu00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,
Jacob Tamme\TammJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Matt Schaub\SchaMa00,HOU,17,24,220,1,2,1,3,25,78.5,4,0,0,3,0,0,0,0,0,0,
Ben Tate\TateBe00,HOU,0,0,0,0,0,0,0,0,,24,116,1,18,0,0,0,0,0,1,
Derrick Ward\WardDe01,HOU,0,0,0,0,0,0,0,0,,11,39,1,9,0,0,0,0,0,0,
Steve Slaton\SlatSt00,HOU,0,0,0,0,0,0,0,0,,2,12,0,13,2,1,6,0,6,0,
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,95,1,21,0,
Jacoby Jones\JoneJa03,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,0,25,0,
James Casey\CaseJa00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,13,0,
Joel Dreessen\DreeJo00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,
Kevin Walter\WaltKe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,
Owen Daniels\DaniOw00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,
