Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,32,48,517,4,1,1,1,99,121.6,1,3,0,3,0,0,0,0,0,0,
Danny Woodhead\WoodDa02,NWE,0,0,0,0,0,0,0,0,,14,69,0,9,1,1,6,0,6,0,
BenJarvus Green-Ellis\GreeBe00,NWE,0,0,0,0,0,0,0,0,,7,34,1,13,1,0,0,0,0,0,
Wes Welker\WelkWe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,160,2,99,0,
Aaron Hernandez\HernAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,103,1,30,0,
Deion Branch\BranDe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,93,0,24,0,
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,86,1,23,0,
Matt Slater\SlatMa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,46,0,46,0,
Chad Johnson\JohnCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,
Dane Fletcher\FletDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Chad Henne\HennCh01,MIA,30,49,416,2,1,4,26,31,93.6,7,59,1,19,0,0,0,0,0,1,
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,11,38,0,13,10,9,56,1,16,0,
Lex Hilliard\HillLe00,MIA,0,0,0,0,0,0,0,0,,2,1,0,2,0,0,0,0,0,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,139,0,31,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,92,0,26,0,
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,82,0,25,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,47,1,16,0,
