Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,26,40,311,2,2,1,9,36,84.5,2,4,0,3,0,0,0,0,0,0,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,0,0,0,,18,55,0,15,2,2,17,0,16,0,
Danny Ware\WareDa00,NYG,0,0,0,0,0,0,0,0,,9,34,0,7,6,5,34,0,10,0,
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,84,0,36,0,
Mario Manningham\MannMa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,77,1,18,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,41,1,32,0,
Jake Ballard\BallJa21,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,17,0,
Bear Pascoe\PascBe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,14,0,
Alex Smith\SmitAl03,SFO,19,30,242,1,1,2,14,31,85.7,6,27,0,14,0,0,0,0,0,0,
Kendall Hunter\HuntKe00,SFO,0,0,0,0,0,0,0,0,,6,40,1,17,3,1,4,0,4,0,
Anthony Dixon\DixoAn00,SFO,0,0,0,0,0,0,0,0,,2,10,0,8,0,0,0,0,0,0,
Delanie Walker\WalkHu00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,69,0,19,0,
Braylon Edwards\EdwaBr00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,47,0,21,0,
Vernon Davis\DaviVe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,1,31,0,
Ted Ginn\GinnTe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,39,0,16,0,
Michael Crabtree\CrabMi00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,21,0,21,0,
Kyle Williams\WillKy01,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,
Frank Gore\GoreFr00,SFO,0,0,0,0,0,0,0,0,,6,0,0,3,1,1,8,0,8,0,
