Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,22,38,280,1,4,1,8,32,50.2,7,37,2,11,0,0,0,0,0,0,
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,10,73,0,29,1,1,32,0,32,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,8,22,0,5,6,6,87,0,26,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,1,5,0,5,10,5,41,1,20,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,51,0,22,0,
Legedu Naanee\NaanLe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,41,0,26,0,
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,23,0,8,0,
Richie Brockel\BrocRi00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,
Matthew Stafford\StafMa00,DET,28,36,335,5,2,2,9,30,121.9,4,2,0,2,0,0,0,0,0,0,
Kevin Smith\SmitKe02,DET,0,0,0,0,0,0,0,0,,16,140,2,43,4,4,61,1,28,0,
Maurice Morris\MorrMa00,DET,0,0,0,0,0,0,0,0,,7,29,0,16,1,1,8,0,8,0,
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,89,0,30,0,
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,63,1,16,0,
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,37,1,16,0,
Rashied Davis\DaviRa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,15,0,
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,1,17,0,
Titus Young\YounTi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,1,11,0,
Will Heller\HellWi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,12,0,12,0,
Keiland Williams\WillKe03,DET,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,
Stefan Logan\LogaSt00,DET,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,
