Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Hasselbeck\HassMa00,TEN,13,25,124,0,1,0,0,20,49.4,1,17,0,17,0,0,0,0,0,0,
Jake Locker\LockJa00,TEN,9,19,140,2,0,1,7,40,107.3,1,11,0,11,0,0,0,0,0,0,
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,0,0,0,,12,13,0,6,3,3,15,0,6,0,
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,115,2,40,0,
Jared Cook\CookJa02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,51,0,22,0,
Javon Ringer\RingJa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,15,0,
Lavelle Hawkins\HawkLa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,32,0,32,0,
Damian Williams\WillDa04,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,1,16,0,16,0,
Marc Mariani\MariMa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Matt Ryan\RyanMa00,ATL,22,32,316,1,0,0,0,43,110.9,6,3,0,7,0,0,0,0,0,0,
Michael Turner\TurnMi00,ATL,0,0,0,0,0,0,0,0,,21,100,1,35,2,1,9,0,9,1,
Jason Snelling\SnelJa00,ATL,0,0,0,0,0,0,0,0,,7,11,0,4,2,1,4,0,4,0,
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,2,2,0,3,0,0,0,0,0,0,
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,147,0,43,0,
Tony Gonzalez\GonzTo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,74,1,19,0,
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,51,0,21,0,
Eric Weems\WeemEr00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,20,0,8,0,
Michael Palmer\PalmMi00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,
