Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
T.J. Yates\YateT.00,HOU,8,15,70,0,0,0,0,24,66.0,4,-3,0,3,0,0,0,0,0,1,
Matt Leinart\LeinMa00,HOU,10,13,57,1,0,0,0,20,110.1,0,0,0,0,0,0,0,0,0,0,
Arian Foster\FostAr00,HOU,0,0,0,0,0,0,0,0,,22,65,1,43,9,7,24,0,8,2,
Ben Tate\TateBe00,HOU,0,0,0,0,0,0,0,0,,5,26,0,10,0,0,0,0,0,0,
Owen Daniels\DaniOw00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,31,0,24,0,
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,14,0,
Joel Dreessen\DreeJo00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,1,20,0,
Kevin Walter\WaltKe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,8,0,
Jacoby Jones\JoneJa03,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,
James Casey\CaseJa00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,
Derrick Mason\MasoDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Blaine Gabbert\GabbBl00,JAX,13,29,136,0,1,6,35,31,44.6,1,1,0,1,0,0,0,0,0,0,
Luke McCown\McCoLu00,JAX,7,11,62,0,0,1,13,25,78.6,1,9,0,9,0,0,0,0,0,0,
Maurice Jones-Drew\DrewMa00,JAX,0,0,0,0,0,0,0,0,,18,99,0,29,6,4,67,0,31,0,
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,47,0,25,0,
Jarett Dillard\DillJa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,21,0,
Cecil Shorts\ShorCe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,25,0,25,0,
Jason Hill\HillJa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,12,0,5,0,
Mike Thomas\ThomMi01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,0,6,0,
Kassim Osgood\OsgoKa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Montell Owens\OwenMo01,JAX,0,0,0,0,0,0,0,0,,2,-2,0,-1,1,1,6,0,6,0,
Deji Karim\KariDe00,JAX,0,0,0,0,0,0,0,0,,2,-2,0,2,3,2,0,0,4,1,
