Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Dan Orlovsky\OrloDa00,IND,30,37,353,2,1,2,15,40,113.2,1,-1,0,-1,0,0,0,0,0,0,
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,14,41,1,7,1,1,15,0,15,0,
Joseph Addai\AddaJo00,IND,0,0,0,0,0,0,0,0,,13,39,0,8,1,1,2,0,2,0,
Delone Carter\CartDe01,IND,0,0,0,0,0,0,0,0,,3,20,0,10,0,0,0,0,0,1,
Pierre Garcon\GarcPi00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,150,2,40,0,
Austin Collie\CollAu00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,70,0,23,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,55,0,15,0,
Jacob Tamme\TammJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,49,0,20,0,
Jerome Felton\FeltJe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,
Anthony Hill\HillAn00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,
Tom Brady\BradTo00,NWE,29,38,289,2,0,1,0,23,114.9,3,7,0,6,0,0,0,0,0,0,
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,8,33,0,8,0,0,0,0,0,0,
BenJarvus Green-Ellis\GreeBe00,NWE,0,0,0,0,0,0,0,0,,6,14,1,5,1,0,0,0,0,0,
Danny Woodhead\WoodDa02,NWE,0,0,0,0,0,0,0,0,,4,12,0,5,1,0,0,0,0,0,
Kevin Faulk\FaulKe00,NWE,0,0,0,0,0,0,0,0,,2,5,0,3,1,1,13,0,13,0,
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,1,2,1,2,6,5,64,2,21,0,
Wes Welker\WelkWe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,11,110,0,18,0,
Aaron Hernandez\HernAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,43,0,23,0,
Deion Branch\BranDe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,17,0,
Chad Johnson\JohnCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,
Tiquan Underwood\UndeTi00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,
