Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Vince Young\YounVi00,PHI,17,29,208,1,4,2,10,47,52.7,5,32,0,13,0,0,0,0,0,1,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,17,84,1,20,5,4,49,1,24,0,
Ronnie Brown\BrowRo05,PHI,0,0,0,0,0,0,0,0,,2,11,0,7,0,0,0,0,0,0,
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,0,0,0,,1,5,0,5,5,4,34,0,20,0,
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,94,0,47,0,
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,11,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,
Clay Harbor\HarbCl00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Chad Hall\HallCh00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Tarvaris Jackson\JackTa00,SEA,13,16,190,1,0,3,17,28,137.0,2,4,0,5,0,0,0,0,0,1,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,22,148,2,40,0,0,0,0,0,0,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,0,0,,6,9,0,4,0,0,0,0,0,1,
Golden Tate\TateGo00,SEA,0,0,0,0,0,0,0,0,,1,8,0,8,4,4,47,1,25,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,0,0,0,,2,5,0,6,0,0,0,0,0,0,
Zach Miller\MillZa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,53,0,28,0,
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,19,0,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,26,0,
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,
Mike Williams\WillMi03,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
