Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Hasselbeck\HassMa00,TEN,16,25,140,0,0,1,10,21,78.7,1,-1,0,-1,0,0,0,0,0,0,
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,0,0,0,,23,153,2,48,1,1,4,0,4,1,
Javon Ringer\RingJa00,TEN,0,0,0,0,0,0,0,0,,5,21,0,11,2,2,-8,0,-3,0,
Ahmard Hall\HallAh00,TEN,0,0,0,0,0,0,0,0,,2,14,0,12,2,2,12,0,9,0,
Damian Williams\WillDa04,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,62,0,18,0,
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,12,0,
Daniel Graham\GrahDa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,
Lavelle Hawkins\HawkLa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,9,0,5,0,
Marc Mariani\MariMa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Jared Cook\CookJa02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Ryan Fitzpatrick\FitzRy00,BUF,29,46,288,1,0,1,6,29,88.0,4,1,0,4,0,0,0,0,0,1,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,14,83,1,35,6,3,19,0,12,1,
Tashard Choice\ChoiTa00,BUF,0,0,0,0,0,0,0,0,,5,20,0,7,1,1,7,0,7,0,
Brad Smith\SmitBr01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,72,0,29,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,52,1,22,0,
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,48,0,22,1,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,34,0,17,0,
Naaman Roosevelt\RoosNa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,25,0,25,0,
Mike Caussin\CausMi00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,8,0,
Lee Smith\SmitLe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,11,0,6,0,
Corey McIntyre\McInCo00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,
