Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,13,34,176,0,2,1,10,53,31.0,5,26,0,18,0,0,0,0,0,0,
Tyler Thigpen\ThigTy00,BUF,2,3,19,0,1,0,0,13,44.4,1,8,0,8,0,0,0,0,0,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,12,46,0,16,4,3,10,0,6,0,
Tashard Choice\ChoiTa00,BUF,0,0,0,0,0,0,0,0,,1,12,0,12,4,1,2,0,2,0,
Johnny White\WhitJo01,BUF,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,116,0,53,0,
Derek Hagan\HagaDe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,17,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,20,0,10,0,
Mike Caussin\CausMi00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,13,0,
Brad Smith\SmitBr01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,
Lee Smith\SmitLe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,
Philip Rivers\RivePh00,SDG,24,33,240,3,0,2,24,26,123.3,0,0,0,0,0,0,0,0,0,1,
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,0,0,0,,20,114,0,37,6,6,34,0,10,0,
Mike Tolbert\TolbMi00,SDG,0,0,0,0,0,0,0,0,,6,21,1,13,1,0,0,0,0,0,
Eric Weddle\WeddEr99,SDG,0,0,0,0,0,0,0,0,,1,10,0,10,0,0,0,0,0,0,
Jacob Hester\HestJa00,SDG,0,0,0,0,0,0,0,0,,3,7,0,3,0,0,0,0,0,0,
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,68,2,17,0,
Vincent Jackson\JackVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,55,0,17,0,
Patrick Crayton\CrayPa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,1,26,0,
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,15,0,
Randy McMichael\McMiRa01,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,
Kory Sperry\SperKo00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Billy Volek\VoleBi00,SDG,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,
