Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tyler Palko\PalkTy00,KAN,16,32,195,1,1,5,39,24,66.5,1,12,0,12,0,0,0,0,0,0,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,0,0,0,,10,33,0,11,2,2,26,0,24,0,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,0,0,0,,5,12,0,4,0,0,0,0,0,0,
Jerheme Urban\UrbaJe00,KAN,0,0,0,0,0,0,0,0,,1,7,0,7,6,2,28,1,24,0,
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,4,1,0,2,2,0,0,0,0,1,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,69,0,21,0,
Steve Breaston\BreaSt00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,44,0,18,0,
Jonathan Baldwin\BaldJo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,28,0,18,0,
Mark Sanchez\SancMa00,NYJ,13,21,181,2,0,3,26,36,121.3,2,4,2,3,0,0,0,0,0,1,
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,0,0,0,,24,129,1,31,3,3,58,0,36,0,
LaDainian Tomlinson\TomlLa00,NYJ,0,0,0,0,0,0,0,0,,9,14,0,7,4,2,50,1,31,0,
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,6,10,0,4,0,0,0,0,0,0,
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,0,11,0,
Josh Baker\BakeJo01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,
Santonio Holmes\HolmSa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,1,8,0,
Patrick Turner\TurnPa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,
Plaxico Burress\BurrPl00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
