Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Michael Vick\VickMi00,PHI,15,30,208,1,1,4,20,34,69.9,2,9,0,5,0,0,0,0,0,0,
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,27,38,2,11,6,3,33,0,26,0,
Ronnie Brown\BrowRo05,PHI,0,0,0,0,0,0,0,0,,3,4,0,4,0,0,0,0,0,0,
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,59,1,34,0,
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,11,0,
Jason Avant\AvanJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,35,0,28,0,
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,29,0,29,0,
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,13,0,13,0,
Chad Hall\HallCh00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Clay Harbor\HarbCl00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Matt Moore\MoorMa01,MIA,11,19,95,1,1,4,22,21,66.8,1,1,0,1,0,0,0,0,0,1,
J.P. Losman\LosmJ.00,MIA,6,10,60,0,0,5,38,25,77.1,2,1,0,1,0,0,0,0,0,1,
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,14,103,0,16,6,5,27,0,17,0,
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,7,4,0,4,2,2,9,0,7,0,
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,56,0,25,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,27,1,16,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,8,1,
Lex Hilliard\HillLe00,MIA,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,
