Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,32,40,412,5,0,0,0,47,149.2,2,4,0,4,0,0,0,0,0,1,
Chase Daniel\DaniCh00,NOR,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,
Chris Ivory\IvorCh00,NOR,0,0,0,0,0,0,0,0,,18,74,0,12,0,0,0,0,0,0,
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,8,44,1,10,2,2,41,0,25,0,
Darren Sproles\SproDa00,NOR,0,0,0,0,0,0,0,0,,8,33,0,14,6,5,79,1,39,0,
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,1,4,0,4,4,2,22,0,13,0,
Jed Collins\CollJe01,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,12,0,12,0,
Lance Moore\MoorLa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,91,2,47,0,
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,91,0,25,0,
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,70,1,18,1,
Devery Henderson\HendDe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,
John Gilmore\GilmJo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,
Christian Ponder\PondCh00,MIN,14,31,120,2,1,4,18,16,63.9,3,34,0,15,0,0,0,0,0,0,
Joe Webb\WebbJo00,MIN,0,1,0,0,0,0,0,0,39.6,2,0,0,3,2,0,0,0,0,0,
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,10,60,0,39,1,0,0,0,0,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,2,12,0,9,4,4,46,2,16,0,
Devin Aromashodu\AromDe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,29,0,15,0,
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,8,0,
Emmanuel Arceneaux\ArceEm00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,
Lorenzo Booker\BookLo00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,
Greg Camarillo\CamaGr00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,
Visanthe Shiancoe\ShiaVi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Jim Kleinsasser\KleiJi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,0,0,0,,1,-1,0,-1,7,3,8,0,5,0,
