Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,9,27,225,1,1,2,8,99,61.5,1,-1,0,-1,0,0,0,0,0,0,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,0,0,0,,15,54,2,19,1,1,8,0,8,0,
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,0,0,0,,7,42,0,28,1,1,13,0,13,0,
Danny Ware\WareDa00,NYG,0,0,0,0,0,0,0,0,,3,20,0,17,2,1,5,0,5,0,
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,164,1,99,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,1,20,0,20,0,
Devin Thomas\ThomDe02,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,
Ramses Barden\BardRa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,4,0,4,0,
Jerrel Jernigan\JernJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Travis Beckum\BeckTr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Mark Sanchez\SancMa00,NYJ,30,59,258,1,2,5,32,15,54.2,4,13,1,11,0,0,0,0,0,1,
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,0,0,0,,14,58,0,13,4,3,20,0,8,0,
LaDainian Tomlinson\TomlLa00,NYJ,0,0,0,0,0,0,0,0,,5,29,0,11,9,6,36,0,9,0,
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,1,6,0,6,8,5,36,0,10,0,
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,18,8,77,0,15,0,
Plaxico Burress\BurrPl00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,34,0,15,0,
Josh Baker\BakeJo01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,
Joe McKnight\McKnJo00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Santonio Holmes\HolmSa00,NYJ,0,0,0,0,0,0,0,0,,1,-1,0,-1,9,4,50,0,15,0,
