Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh Freeman\FreeJo00,TAM,28,38,274,1,1,3,16,29,91.3,6,4,1,2,0,0,0,0,0,1,
Kregg Lumpkin\LumpKr00,TAM,0,0,0,0,0,0,0,0,,7,24,0,9,4,4,38,0,15,0,
Mossis Madu\MaduMo00,TAM,0,0,0,0,0,0,0,0,,4,20,0,15,6,4,42,0,15,0,
LeGarrette Blount\BlouLe00,TAM,0,0,0,0,0,0,0,0,,2,11,0,8,0,0,0,0,0,0,
Kellen Winslow\WinsKe01,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,63,0,22,1,
Sammie Stroughter\StroSa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,52,0,29,1,
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,39,0,13,0,
Preston Parker\ParkPr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,14,0,9,0,
Dezmon Briscoe\BrisDe00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,
Arrelious Benn\BennAr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,1,4,0,
Micheal Spurlock\SpurMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Cam Newton\NewtCa00,CAR,12,17,171,3,0,1,8,91,142.4,6,65,1,49,0,0,0,0,0,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,7,88,0,32,2,1,11,1,11,0,
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,7,66,2,22,2,2,18,0,10,0,
Josh Vaughan\VaugJo01,CAR,0,0,0,0,0,0,0,0,,7,24,0,9,0,0,0,0,0,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,1,23,0,23,3,1,9,0,9,0,
Richie Brockel\BrocRi00,CAR,0,0,0,0,0,0,0,0,,2,5,0,3,1,1,4,0,4,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,103,1,91,0,
Jeremy Shockey\ShocJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,1,8,0,
Legedu Naanee\NaanLe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Derek Anderson\AndeDe00,CAR,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,
