Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,15,19,130,1,0,1,4,39,112.7,1,1,0,1,0,0,0,0,0,0,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,0,0,0,,24,191,2,70,2,2,8,0,5,0,
Ricky Williams\WillRi00,BAL,0,0,0,0,0,0,0,0,,6,28,0,10,0,0,0,0,0,0,
Vonta Leach\LeacVo00,BAL,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,7,0,7,0,
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,62,1,39,0,
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,33,0,13,0,
Ed Dickson\DickEd00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,
Lee Evans\EvanLe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Andy Dalton\DaltAn00,CIN,22,44,232,0,0,1,1,31,65.7,4,17,0,13,0,0,0,0,0,0,
Cedric Benson\BensCe00,CIN,0,0,0,0,0,0,0,0,,13,51,0,12,3,2,10,0,6,0,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,0,0,0,,6,34,1,25,2,1,8,0,8,0,
Andrew Hawkins\HawkAn00,CIN,0,0,0,0,0,0,0,0,,1,3,0,3,4,3,34,0,26,0,
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,72,0,31,1,
Jerome Simpson\SimpJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,54,0,23,0,
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,2,26,0,18,0,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,19,0,16,0,
Donald Lee\LeexDo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,6,0,
Ryan Whalen\WhalRy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
