Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,29,46,307,2,4,2,11,29,60.7,5,36,0,16,0,0,0,0,0,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,13,60,0,12,8,4,40,1,15,0,
George Wilson\WilsGe01,BUF,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,
Tashard Choice\ChoiTa00,BUF,0,0,0,0,0,0,0,0,,1,4,1,4,2,1,9,0,9,0,
Derek Hagan\HagaDe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,89,0,29,0,
Ruvell Martin\MartRu00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,0,14,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,40,1,18,0,
Naaman Roosevelt\RoosNa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,0,21,0,
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,19,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,0,14,0,
Kevin Brock\BrocKe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,
Tom Brady\BradTo00,NWE,23,35,338,3,1,4,18,53,113.7,0,0,0,0,0,0,0,0,0,1,
Brian Hoyer\HoyeBr00,NWE,1,1,22,0,0,0,0,22,118.7,3,-2,0,0,0,0,0,0,0,0,
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,15,81,0,21,0,0,0,0,0,1,
Aaron Hernandez\HernAa00,NWE,0,0,0,0,0,0,0,0,,2,26,0,19,11,7,138,1,44,0,
BenJarvus Green-Ellis\GreeBe00,NWE,0,0,0,0,0,0,0,0,,7,22,2,11,1,1,53,0,53,0,
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,
Danny Woodhead\WoodDa02,NWE,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,10,0,6,0,
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,108,2,22,0,
Wes Welker\WelkWe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,51,0,15,0,
Chad Johnson\JohnCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
