Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh McCown\McCoJo01,CHI,15,25,160,1,1,7,43,22,75.4,4,30,0,28,0,0,0,0,0,2,
Kahlil Bell\BellKa00,CHI,0,0,0,0,0,0,0,0,,17,54,0,15,5,5,28,0,8,1,
Armando Allen\AlleAr00,CHI,0,0,0,0,0,0,0,0,,4,8,0,12,1,0,0,0,0,0,
Roy Williams\WillRo04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,60,1,22,0,
Earl Bennett\BennEa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,15,1,
Dane Sanzenbacher\SanzDa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,27,0,22,0,
Devin Hester\HestDe99,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,
Matt Spaeth\SpaeMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Joe Webb\WebbJo00,MIN,17,32,200,0,2,1,3,23,46.4,4,2,0,9,1,0,0,0,0,0,
Christian Ponder\PondCh00,MIN,4,10,28,0,1,1,3,11,8.3,0,0,0,0,0,0,0,0,0,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,15,67,0,24,2,1,3,0,3,0,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,0,0,0,,5,13,1,13,16,10,115,0,23,0,
Devin Aromashodu\AromDe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,3,53,0,19,0,
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,15,0,9,0,
Greg Camarillo\CamaGr00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,
Chris Kluwe\KluwCh20,MIN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,
Lorenzo Booker\BookLo00,MIN,0,0,0,0,0,0,0,0,,2,-3,0,0,4,3,33,0,13,0,
