Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,KAN,15,22,133,0,3,2,17,45,44.5,0,0,0,0,0,0,0,0,0,1,
Tyler Palko\PalkTy00,KAN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,8,51,0,24,5,4,-2,0,6,1,
Thomas Jones\JoneTh00,KAN,0,0,0,0,0,0,0,0,,12,40,0,12,0,0,0,0,0,0,
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,2,27,0,24,0,0,0,0,0,0,
Le'Ron McClain\McClLe00,KAN,0,0,0,0,0,0,0,0,,4,15,0,12,2,2,12,0,12,0,
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,1,12,0,12,8,5,101,0,45,0,
Jackie Battle\BattJa00,KAN,0,0,0,0,0,0,0,0,,2,6,0,3,0,0,0,0,0,0,
Leonard Pope\PopeLe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,5,0,
Steve Breaston\BreaSt00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,
Jerheme Urban\UrbaJe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,
Matthew Stafford\StafMa00,DET,23,39,294,4,1,0,0,43,106.1,1,1,0,1,0,0,0,0,0,0,
Shaun Hill\HillSh00,DET,1,1,28,0,0,0,0,28,118.7,0,0,0,0,0,0,0,0,0,0,
Jahvid Best\BestJa00,DET,0,0,0,0,0,0,0,0,,16,57,1,12,8,6,66,1,35,0,
Keiland Williams\WillKe03,DET,0,0,0,0,0,0,0,0,,9,25,1,14,0,0,0,0,0,1,
Jerome Harrison\HarrJe00,DET,0,0,0,0,0,0,0,0,,4,6,0,3,0,0,0,0,0,0,
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,93,0,29,0,
Titus Young\YounTi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,89,0,43,0,
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,36,1,36,0,
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,29,2,15,0,
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,
Will Heller\HellWi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,
