Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,32,46,378,2,0,5,40,60,108.8,1,-1,0,-1,0,0,0,0,0,1,
Jahvid Best\BestJa00,DET,0,0,0,0,0,0,0,0,,12,14,0,5,7,5,74,0,60,0,
Jerome Harrison\HarrJe00,DET,0,0,0,0,0,0,0,0,,2,8,0,5,2,1,3,0,3,0,
Keiland Williams\WillKe03,DET,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,112,0,27,0,
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,108,2,40,0,
Titus Young\YounTi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,51,0,17,0,
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,
Maurice Morris\MorrMa00,DET,0,0,0,0,0,0,0,0,,2,-4,0,-1,2,1,14,0,14,0,
Donovan McNabb\McNaDo00,MIN,22,36,211,1,0,4,22,24,86.7,2,11,0,8,0,0,0,0,0,1,
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,17,78,1,43,5,4,19,0,7,0,
Percy Harvin\HarvPe00,MIN,0,0,0,0,0,0,0,0,,2,41,0,39,5,3,47,0,21,0,
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,2,2,0,2,2,1,5,0,5,0,
Michael Jenkins\JenkMi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,88,0,24,0,
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,39,0,20,0,
Visanthe Shiancoe\ShiaVi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,1,8,0,
Devin Aromashodu\AromDe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,
Jim Kleinsasser\KleiJi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Bernard Berrian\BerrBe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,
