Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Schaub\SchaMa00,HOU,22,39,373,3,1,2,9,62,103.9,0,0,0,0,0,0,0,0,0,0,
Ben Tate\TateBe00,HOU,0,0,0,0,0,0,0,0,,19,82,0,19,4,1,8,0,8,0,
James Casey\CaseJa00,HOU,0,0,0,0,0,0,0,0,,1,11,0,11,7,5,126,1,62,0,
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,0,0,0,,1,8,0,8,12,7,128,0,48,0,
Steve Slaton\SlatSt00,HOU,0,0,0,0,0,0,0,0,,4,8,0,6,0,0,0,0,0,0,
Owen Daniels\DaniOw00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,76,1,23,0,
Kevin Walter\WaltKe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,1,20,0,
Joel Dreessen\DreeJo00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Jacoby Jones\JoneJa03,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,
Drew Brees\BreeDr00,NOR,31,44,370,3,2,2,16,44,99.6,4,-1,0,4,0,0,0,0,0,0,
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,9,38,1,17,2,2,-3,0,0,0,
Darren Sproles\SproDa00,NOR,0,0,0,0,0,0,0,0,,2,35,1,30,9,6,50,0,15,0,
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,7,28,0,9,1,1,15,0,15,0,
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,100,1,32,0,
Lance Moore\MoorLa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,88,1,16,0,
Devery Henderson\HendDe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,62,0,44,0,
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,51,1,16,0,
David Thomas\ThomDa02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,
