Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,30,45,387,4,4,0,0,33,86.1,1,5,0,5,0,0,0,0,0,0,
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,6,42,0,16,1,1,8,0,8,0,
Danny Woodhead\WoodDa02,NWE,0,0,0,0,0,0,0,0,,6,21,0,10,5,3,20,0,13,0,
Wes Welker\WelkWe00,NWE,0,0,0,0,0,0,0,0,,1,19,0,19,20,16,217,2,33,0,
BenJarvus Green-Ellis\GreeBe00,NWE,0,0,0,0,0,0,0,0,,10,18,0,5,0,0,0,0,0,0,
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,2,3,0,5,3,1,5,0,5,0,
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,109,2,29,0,
Chad Johnson\JohnCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,19,0,
Deion Branch\BranDe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,
Ryan Fitzpatrick\FitzRy00,BUF,27,40,369,2,2,0,0,48,92.6,4,-6,0,0,0,0,0,0,0,0,
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,12,74,1,21,6,5,87,0,38,0,
Brad Smith\SmitBr01,BUF,0,0,0,0,0,0,0,0,,2,6,0,5,1,0,0,0,0,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,-7,0,-7,0,
Donald Jones\JoneDo00,BUF,0,0,0,0,0,0,0,0,,1,2,0,2,10,5,101,0,48,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,94,1,33,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,84,0,26,0,
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,1,7,0,
Naaman Roosevelt\RoosNa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
