Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Moore\MoorMa01,MIA,17,26,167,0,1,3,18,31,67.3,1,-1,0,-1,0,0,0,0,0,0,
Chad Henne\HennCh01,MIA,3,4,27,0,1,0,0,18,53.1,1,1,0,1,0,0,0,0,0,0,
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,13,50,0,16,2,2,15,0,9,0,
Lex Hilliard\HillLe00,MIA,0,0,0,0,0,0,0,0,,6,20,1,4,1,1,18,0,18,0,
Steve Slaton\SlatSt00,MIA,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,-2,0,-2,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,52,0,14,0,
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,31,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,18,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,12,0,
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,
Clyde Gates\GateCl00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,,1,8,0,8,0,
Jeron Mastrud\MastJe20,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,
Philip Rivers\RivePh00,SDG,21,31,307,1,0,2,12,55,110.6,5,18,0,15,0,0,0,0,0,0,
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,0,0,0,,16,81,0,20,5,5,68,0,42,1,
Mike Tolbert\TolbMi00,SDG,0,0,0,0,0,0,0,0,,6,17,1,11,8,5,51,0,19,1,
Vincent Jackson\JackVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,108,1,55,0,
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,15,0,
Vincent Brown\BrowVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,20,0,
Randy McMichael\McMiRa01,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,25,0,17,0,
Patrick Crayton\CrayPa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,
Jacob Hester\HestJa00,SDG,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,
Kory Sperry\SperKo00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
