Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,BUF,21,30,244,2,2,3,25,60,88.7,3,8,0,4,0,0,0,0,0,1,
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,16,121,1,80,6,5,47,0,19,0,
Brad Smith\SmitBr01,BUF,0,0,0,0,0,0,0,0,,4,26,0,18,0,0,0,0,0,0,
David Nelson\NelsDa01,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,62,0,32,0,
Naaman Roosevelt\RoosNa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,60,1,60,0,
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,39,0,15,0,
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,39,1,12,0,
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-3,0,-3,0,
Eli Manning\MannEl00,NYG,21,32,292,0,0,0,0,60,94.8,2,-1,0,0,0,0,0,0,0,0,
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,0,0,0,,26,104,3,30,2,2,26,0,17,0,
Danny Ware\WareDa00,NYG,0,0,0,0,0,0,0,0,,5,19,0,5,0,0,0,0,0,0,
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,96,0,60,0,
Jake Ballard\BallJa21,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,81,0,24,0,
Mario Manningham\MannMa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,56,0,16,0,
Bear Pascoe\PascBe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,14,0,
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,6,0,
Da'Rel Scott\ScotDa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,
Jerrel Jernigan\JernJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Travis Beckum\BeckTr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
